Rk,Year,Player,Pos,AV,School,College,Height,Wt,40yd,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (Tm / Rd/ Yr),Year
4,2007,Brandon Fields,P,24,Michigan State,College Stats,6-5,239,5.26,null,null,null,null,null,Miami Dolphins / 7th / 225th pick / 2007,2007
5,2007,Nic Schmitt,P,null,Virginia Tech,College Stats,6-2,252,5.05,null,null,null,null,null,null,2007
6,2007,Kody Bliss,P,null,Auburn,College Stats,5-10,179,5.08,null,null,null,null,null,null,2007
7,2007,Brendan Carney,P,null,Syracuse,College Stats,6-4,203,5.03,null,null,null,null,null,null,2007
8,2007,Adam Graessle,P,null,Pittsburgh,College Stats,6-4,215,4.84,null,null,null,null,null,null,2007
9,2007,Aaron King,LS,null,Texas-El Paso,null,6-1,239,4.78,null,null,null,null,null,null,2007
10,2007,Nick Leeson,LS,null,Virginia Tech,College Stats,6-1,255,5.08,null,null,null,null,null,null,2007
11,2007,Alex Reyes,P,null,Texas Tech,College Stats,6-1,234,null,null,null,null,null,null,null,2007
1,2008,Tyler Schmitt,LS,null,San Diego State,College Stats,6-2,231,4.93,29.0,21,118,7.03,4.33,Seattle Seahawks / 6th / 189th pick / 2008,2008
2,2008,Durant Brooks,P,0,Georgia Tech,College Stats,6-0,204,5.20,null,null,null,null,null,Washington Redskins / 6th / 168th pick / 2008,2008
3,2008,Owen Tolson,P,null,Army,College Stats,6-2,210,5.05,null,null,null,null,null,null,2008
4,2008,Tim Bugg,LS,null,Indiana,null,6-0,257,5.12,null,17,null,null,null,null,2008
5,2008,Mike Dragosavich,P,null,North Dakota State,null,6-5,212,4.85,null,null,null,null,null,null,2008
6,2008,Andrew Larson,P,null,California,College Stats,6-0,202,4.94,null,null,null,null,null,null,2008
7,2008,Tim Reyer,P,null,Kansas State,College Stats,5-11,205,5.05,null,null,null,null,null,null,2008
1,2009,Thomas Morstead,P,26,Southern Methodist,College Stats,6-4,225,4.83,null,19,null,null,null,New Orleans Saints / 5th / 164th pick / 2009,2009
2,2009,Tim Masthay,P,10,Kentucky,College Stats,6-1,198,4.80,null,8,null,null,null,null,2009
3,2009,Jake Ingram,LS,1,Hawaii,College Stats,6-3,232,4.90,null,15,null,null,null,New England Patriots / 6th / 198th pick / 2009,2009
4,2009,Kevin Huber,P,20,Cincinnati,College Stats,6-1,220,4.87,null,null,null,null,null,Cincinnati Bengals / 5th / 142nd pick / 2009,2009
5,2009,Britton Colquitt,P,19,Tennessee,College Stats,6-3,205,4.89,null,null,null,null,null,null,2009
6,2009,Justin Brantly,P,null,Texas A&M,College Stats,6-3,249,4.83,null,null,null,null,null,null,2009
7,2009,Matt Fodge,P,null,Oklahoma State,College Stats,6-0,193,4.93,null,null,null,null,null,null,2009
8,2009,Sean Griffin,LS,null,Michigan,College Stats,6-1,242,5.08,null,14,null,null,null,null,2009
