Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,STL,Sam Bradford,QB,22,2018,0,0,6,43,23,82,1842,2948,19292,101,59,146,340,2,1,5,0,2,,,Oklahoma,2010
1,2,DET,Ndamukong Suh,DT,23,2018,3,5,9,79,58,128,0,0,0,0,0,0,0,0,0,0,0,291,1,51.5,Nebraska,2010
1,3,TAM,Gerald McCoy,DT,22,2018,1,6,8,61,61,111,0,0,0,0,0,0,0,0,0,0,0,204,,49.5,Oklahoma,2010
1,4,WAS,Trent Williams,T,22,2018,0,6,9,61,61,109,0,0,0,0,0,0,0,0,0,0,0,8,,,Oklahoma,2010
1,5,KAN,Eric Berry,DB,21,2017,3,5,5,48,48,87,0,0,0,0,0,0,0,0,0,0,0,371,14,5.5,Tennessee,2010
1,6,SEA,Russell Okung,T,22,2018,0,2,9,48,35,105,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma St.,2010
1,7,CLE,Joe Haden,DB,21,2018,0,2,7,43,40,102,0,0,0,0,0,0,0,0,0,0,0,319,20,3,Florida,2010
1,8,OAK,Rolando McClain,LB,21,2015,0,0,5,26,15,65,0,0,0,0,0,0,0,0,0,0,0,292,4,9.5,Alabama,2010
1,9,BUF,C.J. Spiller,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,2010
1,10,JAX,Tyson Alualu,DT,23,2018,0,0,6,39,34,127,0,0,0,0,0,1,0,0,2,19,0,202,,21.5,California,2010
1,11,SFO,Anthony Davis,T,20,2016,0,0,4,31,31,72,0,0,0,0,0,0,0,0,0,0,0,2,,,Rutgers,2010
1,12,SDG,Ryan Mathews,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,3,,,Fresno St.,2010
1,13,PHI,Brandon Graham,DE,22,2018,0,0,4,34,34,113,0,0,0,0,0,0,0,0,0,0,0,218,,38.5,Michigan,2010
1,14,SEA,Earl Thomas,DB,21,2018,3,6,9,71,71,123,0,0,0,0,0,0,0,0,0,0,0,470,26,,Texas,2010
1,15,NYG,Jason Pierre-Paul,DE,21,2018,1,2,7,53,53,113,0,0,0,0,0,0,0,0,0,0,0,314,2,59.5,South Florida,2010
1,16,TEN,Derrick Morgan,DE,21,2018,0,0,8,36,36,107,0,0,0,0,0,0,0,0,0,0,0,192,,44,Georgia Tech,2010
1,17,SFO,Mike Iupati,G,23,2018,1,4,8,58,41,106,0,0,0,0,0,0,0,0,1,10,0,5,,,Idaho,2010
1,18,PIT,Maurkice Pouncey,C,21,2018,2,6,7,61,61,94,0,0,0,0,0,0,0,0,1,0,0,3,,,Florida,2010
1,19,ATL,Sean Weatherspoon,LB,22,2017,0,0,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,247,2,8,Missouri,2010
1,20,HOU,Kareem Jackson,DB,22,2018,0,0,8,36,36,118,0,0,0,0,0,0,0,0,0,0,0,409,14,1,Alabama,2010
1,21,CIN,Jermaine Gresham,TE,22,2017,0,2,8,27,22,119,0,0,0,0,0,0,0,0,368,3658,29,4,,,Oklahoma,2010
