Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CLE,Baker Mayfield,QB,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,2018
1,2,NYG,Saquon Barkley,RB,21,2018,0,0,1,0,0,2,0,0,0,0,0,29,134,1,16,102,0,,,,Penn St.,2018
1,3,NYJ,Sam Darnold,QB,21,2018,0,0,1,0,0,2,41,62,532,3,3,8,0,0,0,0,0,,,,USC,2018
1,4,CLE,Denzel Ward,CB,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,,Ohio St.,2018
1,5,DEN,Bradley Chubb,DE,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,0.5,North Carolina St.,2018
1,6,IND,Quenton Nelson,G,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,2018
1,7,BUF,Josh Allen,QB,22,2018,0,0,1,0,0,2,24,48,319,1,2,12,58,0,0,0,0,,,,Wyoming,2018
1,8,CHI,Roquan Smith,ILB,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,,1,Georgia,2018
1,9,SFO,Mike McGlinchey,T,24,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,2018
1,10,ARI,Josh Rosen,QB,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2018
1,11,MIA,Minkah Fitzpatrick,S,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,,,Alabama,2018
1,12,TAM,Vita Vea,DT,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,2018
1,13,WAS,Da'Ron Payne,DT,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,Alabama,2018
1,14,NOR,Marcus Davenport,DE,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas-San Antonio,2018
1,15,OAK,Kolton Miller,T,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2018
1,16,BUF,Tremaine Edmunds,ILB,20,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,,1,Virginia Tech,2018
1,17,LAC,Derwin James,S,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,,2,Florida St.,2018
1,18,GNB,Jaire Alexander,CB,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,,0.5,Louisville,2018
1,19,DAL,Leighton Vander Esch,OLB,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,,,Boise St.,2018
1,20,DET,Frank Ragnow,C,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,2018
1,21,CIN,Billy Price,C,22,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,2018
1,22,TEN,Rashaan Evans,ILB,21,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2018
1,23,NWE,Isaiah Wynn,T,21,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,2018
1,24,CAR,D.J. Moore,WR,21,2018,0,0,0,0,0,2,0,0,0,0,0,2,10,0,1,51,1,,,,Maryland,2018
1,25,BAL,Hayden Hurst,TE,25,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,2018
1,26,ATL,Calvin Ridley,WR,23,2018,0,0,0,0,0,2,0,0,0,0,0,1,3,0,4,64,1,,,,Alabama,2018
1,27,SEA,Rashaad Penny,RB,22,2018,0,0,0,0,0,2,0,0,0,0,0,17,38,0,4,35,0,,,,San Diego St.,2018
1,28,PIT,Terrell Edmunds,S,21,2018,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,Virginia Tech,2018
1,29,JAX,Taven Bryan,DT,22,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,2018
1,30,MIN,Mike Hughes,CB,21,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,,Central Florida,2018
1,31,NWE,Sony Michel,RB,23,2018,0,0,0,0,0,1,0,0,0,0,0,10,34,0,1,7,0,,,,Georgia,2018
1,32,BAL,Lamar Jackson,QB,21,2018,0,0,0,0,0,2,1,4,24,0,0,9,45,0,0,0,0,,,,Louisville,2018
2,33,CLE,Austin Corbett,C,22,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,2018
