Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,IND,Peyton Manning,QB,22,2015,7,14,17,177,146,266,6125,9380,71940,539,251,431,667,18,1,-2,0,9,,,Tennessee,1998
1,2,SDG,Ryan Leaf,QB,22,2001,0,0,0,1,0,25,317,655,3666,14,36,59,127,0,0,0,0,,,,Washington St.,1998
1,3,ARI,Andre Wadsworth,DE,23,2000,0,0,1,12,12,36,0,0,0,0,0,0,0,0,0,0,0,72,1,8,Florida St.,1998
1,4,OAK,Charles Woodson,DB,21,2015,3,9,15,108,57,254,0,0,0,0,0,1,-3,0,2,27,0,983,65,20,Michigan,1998
1,5,CHI,Curtis Enis,RB,22,2000,0,0,1,10,10,36,0,0,0,0,0,456,1497,4,59,428,2,,,,Penn St.,1998
1,6,STL,Grant Wistrom,DE,22,2006,0,0,8,55,37,132,0,0,0,0,0,0,0,0,0,0,0,333,5,53,Nebraska,1998
1,7,NOR,Kyle Turley,T,22,2007,1,0,6,53,42,109,0,0,0,0,0,0,0,0,1,16,0,,,,San Diego St.,1998
1,8,DAL,Greg Ellis,DE,23,2009,0,1,12,68,65,176,0,0,0,0,0,0,0,0,0,0,0,397,4,84,North Carolina,1998
1,9,JAX,Fred Taylor,RB,22,2010,0,1,10,88,86,153,0,0,0,0,0,2534,11695,66,290,2384,8,4,,,Florida,1998
1,10,BAL,Duane Starks,DB,24,2006,0,0,5,35,26,97,0,0,0,0,0,0,0,0,0,0,0,311,25,1,Miami (FL),1998
1,11,PHI,Tra Thomas,T,23,2009,0,3,11,69,68,174,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,1998
1,12,ATL,Keith Brooking,LB,22,2012,0,5,12,83,69,225,0,0,0,0,0,0,0,0,0,0,0,1097,13,22,Georgia Tech,1998
1,13,CIN,Takeo Spikes,LB,21,2012,1,2,14,84,23,219,0,0,0,0,0,0,0,0,0,0,0,1013,19,29,Auburn,1998
1,14,CAR,Jason Peter,DE,23,2001,0,0,2,10,10,38,0,0,0,0,0,0,0,0,0,0,0,65,,7.5,Nebraska,1998
1,15,SEA,Anthony Simmons,LB,22,2004,0,0,3,34,34,87,0,0,0,0,0,0,0,0,0,0,0,450,9,10,Clemson,1998
1,16,TEN,Kevin Dyson,WR,23,2003,0,0,3,22,22,59,0,0,0,0,0,4,3,0,178,2325,18,3,,,Utah,1998
1,17,CIN,Brian Simmons,LB,23,2007,0,0,7,43,42,137,0,0,0,0,0,0,0,0,0,0,0,519,11,24,North Carolina,1998
1,18,NWE,Robert Edwards,RB,23,2002,0,0,1,13,11,28,0,0,0,0,0,311,1222,10,53,457,4,2,,,Georgia,1998
1,19,GNB,Vonnie Holliday,DE,22,2012,0,0,9,64,31,214,0,0,0,0,0,0,0,0,0,0,0,413,2,62.5,North Carolina,1998
1,20,DET,Terry Fair,DB,22,2005,0,0,4,21,21,60,0,0,0,0,0,0,0,0,0,0,0,170,7,1,Tennessee,1998
1,21,MIN,Randy Moss HOF,WR,21,2012,4,6,12,123,79,218,4,8,106,2,1,25,159,0,982,15292,156,26,1,,Marshall,1998
1,22,NWE,Tebucky Jones,DB,23,2005,0,0,4,27,13,109,0,0,0,0,0,0,0,0,0,0,0,307,6,4.5,Syracuse,1998
