Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CIN,Carson Palmer,QB,23,2017,0,3,11,108,61,182,3941,6307,46247,294,187,301,474,8,0,0,0,18,,,USC,2003
1,2,DET,Charles Rogers,WR,22,2005,0,0,0,4,4,15,0,0,0,0,0,2,17,0,36,440,4,,,,Michigan St.,2003
1,3,HOU,Andre Johnson,WR,22,2016,2,7,12,95,93,193,0,0,0,0,0,23,54,0,1062,14185,70,39,,,Miami (FL),2003
1,4,NYJ,Dewayne Robertson,DT,21,2008,0,0,6,34,31,92,0,0,0,0,0,0,0,0,0,0,0,186,,16,Kentucky,2003
1,5,DAL,Terence Newman,DB,25,2018,0,2,13,71,50,221,0,0,0,0,0,1,4,0,0,0,0,748,42,2,Kansas St.,2003
1,6,NOR,Johnathan Sullivan,DT,22,2005,0,0,1,10,10,36,0,0,0,0,0,0,0,0,0,0,0,56,,1.5,Georgia,2003
1,7,JAX,Byron Leftwich,QB,23,2012,0,0,3,33,30,60,930,1605,10532,58,42,137,415,10,1,-7,0,5,,,Marshall,2003
1,8,CAR,Jordan Gross,T,23,2013,1,3,11,72,72,167,0,0,0,0,0,0,0,0,0,1,0,7,,,Utah,2003
1,9,MIN,Kevin Williams,DT,23,2015,5,6,12,99,94,203,0,0,0,0,0,0,0,0,0,0,0,373,5,63,Oklahoma St.,2003
1,10,BAL,Terrell Suggs,LB,20,2018,1,7,14,105,105,215,0,0,0,0,0,0,0,0,0,0,0,578,7,126.5,Arizona St.,2003
1,11,SEA,Marcus Trufant,DB,22,2012,0,1,8,50,50,136,0,0,0,0,0,0,0,0,0,0,0,563,21,2,Washington St.,2003
1,12,STL,Jimmy Kennedy,DT,23,2011,0,0,2,16,13,92,0,0,0,0,0,0,0,0,0,0,0,95,,8.5,Penn St.,2003
1,13,NWE,Ty Warren,DE,22,2012,0,0,6,44,44,107,0,0,0,0,0,0,0,0,0,0,0,254,,20.5,Texas A&M,2003
1,14,CHI,Michael Haynes,DE,22,2005,0,0,0,8,8,43,0,0,0,0,0,0,0,0,0,0,0,48,1,5.5,Penn St.,2003
1,15,PHI,Jerome McDougle,DE,24,2008,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,30,,3,Miami (FL),2003
1,16,PIT,Troy Polamalu,DB,22,2014,4,8,9,94,94,158,0,0,0,0,0,0,0,0,0,0,0,581,32,12,USC,2003
1,17,ARI,Bryant Johnson,WR,22,2011,0,0,4,25,18,139,0,0,0,0,0,5,-8,0,314,3938,16,23,,,Penn St.,2003
1,18,ARI,Calvin Pace,DE,22,2015,0,0,10,71,19,187,0,0,0,0,0,0,0,0,0,0,0,462,3,60,Wake Forest,2003
1,19,BAL,Kyle Boller,QB,22,2011,0,0,4,17,18,67,861,1519,8931,48,54,176,572,2,0,0,0,8,,,California,2003
