Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,ATL,Michael Vick,QB,21,2015,0,4,7,93,58,143,1807,3217,22464,133,88,873,6109,36,2,1,0,9,,,Virginia Tech,2001
1,2,ARI,Leonard Davis,T,23,2012,0,3,10,67,27,171,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas,2001
1,3,CLE,Gerard Warren,DT,23,2011,0,0,8,52,27,163,0,0,0,0,0,0,0,0,0,0,0,250,,36.5,Florida,2001
1,4,CIN,Justin Smith,DE,21,2014,1,5,14,98,27,221,0,0,0,0,0,0,0,0,0,0,0,613,3,87,Missouri,2001
1,5,SDG,LaDainian Tomlinson HOF,RB,22,2011,3,5,10,128,121,170,8,12,143,7,0,3174,13684,145,624,4772,17,8,,,TCU,2001
1,6,NWE,Richard Seymour,DE,21,2012,3,7,9,90,71,164,0,0,0,0,0,0,0,0,0,0,0,324,2,57.5,Georgia,2001
1,7,SFO,Andre Carter,DE,22,2013,0,1,9,60,20,184,0,0,0,0,0,0,0,0,0,0,0,387,,80.5,California,2001
1,8,CHI,David Terrell,WR,22,2005,0,0,1,11,11,54,0,0,0,0,0,4,14,0,128,1602,9,4,,,Michigan,2001
1,9,SEA,Koren Robinson,WR,21,2008,0,1,5,35,30,96,0,0,0,0,0,23,115,1,294,4244,16,18,,,North Carolina St.,2001
1,10,GNB,Jamal Reynolds,DE,22,2003,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,14,,3,Florida St.,2001
1,11,CAR,Dan Morgan,LB,22,2007,0,1,5,30,30,59,0,0,0,0,0,0,0,0,0,0,0,281,5,7,Miami (FL),2001
1,12,STL,Damione Lewis,DT,23,2010,0,0,3,32,12,141,0,0,0,0,0,0,0,0,0,0,0,190,,23.5,Miami (FL),2001
1,13,JAX,Marcus Stroud,DT,23,2010,0,3,9,64,48,146,0,0,0,0,0,0,0,0,0,0,0,309,,29.5,Georgia,2001
1,14,TAM,Kenyatta Walker,T,22,2006,0,0,5,29,29,75,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,2001
1,15,WAS,Rod Gardner,WR,23,2006,0,0,4,25,23,91,2,7,46,2,0,5,24,0,242,3165,23,11,,,Clemson,2001
1,16,NYJ,Santana Moss,WR,22,2014,0,1,8,73,21,197,0,0,0,0,0,51,287,0,732,10283,66,24,,,Miami (FL),2001
1,17,SEA,Steve Hutchinson,G,23,2012,5,7,11,96,44,169,0,0,0,0,0,0,0,0,0,0,0,3,,,Michigan,2001
1,18,DET,Jeff Backus,T,23,2012,0,0,12,63,63,191,0,0,0,0,0,0,0,0,0,0,0,6,,,Michigan,2001
1,19,PIT,Casey Hampton,NT,24,2012,0,5,11,73,73,173,0,0,0,0,0,0,0,0,0,0,0,208,,9,Texas,2001
1,20,STL,Adam Archuleta,DB,23,2007,0,0,6,32,26,103,0,0,0,0,0,0,0,0,0,0,0,452,4,18,Arizona St.,2001
