Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,HOU,David Carr,QB,23,2012,0,0,5,44,41,94,1353,2267,14452,65,71,305,1328,9,0,0,0,6,,,Fresno St.,2002
1,2,CAR,Julius Peppers,DE,22,2018,3,9,14,128,70,252,0,0,0,0,0,0,0,0,0,0,0,544,11,154.5,North Carolina,2002
1,3,DET,Joey Harrington,QB,23,2007,0,0,6,30,22,81,1424,2538,14693,79,85,142,402,0,3,8,0,4,,,Oregon,2002
1,4,BUF,Mike Williams,T,22,2009,0,0,3,25,22,59,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,2002
1,5,SDG,Quentin Jammer,DB,23,2013,0,0,10,52,52,183,0,0,0,0,0,0,0,0,0,0,0,630,21,,Texas,2002
1,6,KAN,Ryan Sims,DT,22,2010,0,0,3,25,16,105,0,0,0,0,0,0,0,0,0,0,0,112,1,8.5,North Carolina,2002
1,7,MIN,Bryant McKinnie,T,22,2013,0,1,10,64,53,179,0,0,0,0,0,0,0,0,0,0,0,1,,,Miami (FL),2002
1,8,DAL,Roy Williams,DB,22,2010,1,5,5,56,52,114,0,0,0,0,0,0,0,0,0,0,0,471,20,7.5,Oklahoma,2002
1,9,JAX,John Henderson,DT,23,2011,0,2,7,64,62,146,0,0,0,0,0,0,0,0,0,0,0,378,,29,Tennessee,2002
1,10,CIN,Levi Jones,T,23,2009,0,0,7,47,43,103,0,0,0,0,0,0,0,0,0,0,0,2,,,Arizona St.,2002
1,11,IND,Dwight Freeney,DE,22,2017,3,7,12,79,75,218,0,0,0,0,0,0,0,0,0,0,0,284,,125.5,Syracuse,2002
1,12,ARI,Wendell Bryant,DT,21,2004,0,0,0,4,4,29,0,0,0,0,0,0,0,0,0,0,0,28,,1.5,Wisconsin,2002
1,13,NOR,Donte' Stallworth,WR,21,2012,0,0,4,39,22,115,0,0,0,0,0,20,98,0,321,4837,35,18,,,Tennessee,2002
1,14,NYG,Jeremy Shockey,TE,22,2011,1,4,10,48,35,136,0,0,0,0,0,1,6,0,547,6143,37,11,,,Miami (FL),2002
1,15,TEN,Albert Haynesworth,DT,21,2011,2,2,7,55,48,123,0,0,0,0,0,0,0,0,0,0,0,261,,30.5,Tennessee,2002
1,16,CLE,William Green,RB,22,2005,0,0,2,14,14,46,0,0,0,0,0,568,2109,9,45,277,0,3,,,Boston Col.,2002
1,17,OAK,Phillip Buchanon,DB,21,2011,0,0,5,34,14,122,0,0,0,0,0,0,0,0,0,0,0,348,20,1,Miami (FL),2002
1,18,ATL,T.J. Duckett,RB,21,2008,0,0,1,21,17,93,0,1,0,0,0,717,2814,44,35,303,0,3,,,Michigan St.,2002
1,19,DEN,Ashley Lelie,WR,22,2008,0,0,4,35,30,107,0,0,0,0,0,20,172,0,217,3749,15,6,,,Hawaii,2002
1,20,GNB,Javon Walker,WR,23,2009,0,1,2,39,24,83,0,0,0,0,0,14,132,1,267,4011,31,12,,,Florida St.,2002
1,21,NWE,Daniel Graham,TE,23,2012,0,0,8,19,13,148,0,0,0,0,0,0,0,0,224,2490,25,16,,,Colorado,2002
