,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
2,42,ATL,Reggie Kelly,TE,22,2011,0,0,10,13,6,184,0,0,0,0,0,0,0,0,195,1767,5,7,,,Mississippi St.,1999
2,43,MIA,Rob Konrad,FB,22,2004,0,0,4,9,9,82,0,0,0,0,0,38,114,1,111,854,6,1,,,Syracuse,1999
2,44,MIN,Jim Kleinsasser,TE,22,2011,0,0,9,14,14,181,0,0,0,0,0,43,147,1,192,1688,6,4,,,North Dakota,1999
2,45,CLE,Rahim Abdullah,LB,23,2000,0,0,1,6,6,29,0,0,0,0,0,0,0,0,0,0,0,71,1,2,Clemson,1999
2,46,NWE,Kevin Faulk,RB,23,2011,0,0,1,56,56,161,2,4,21,0,0,864,3607,16,431,3701,15,10,,,LSU,1999
2,47,GNB,Fred Vinson,DB,22,1999,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,14,2,1,Vanderbilt,1999
2,48,CHI,Russell Davis,DT,24,2007,0,0,5,33,3,114,0,0,0,0,0,0,0,0,0,0,0,212,,11.5,North Carolina,1999
2,49,NYG,Joe Montgomery,RB,23,2002,0,0,0,2,2,13,0,0,0,0,0,123,372,4,0,0,0,,,,Ohio St.,1999
2,50,TAM,Shaun King,QB,22,2004,0,0,0,18,17,34,415,738,4566,27,24,113,454,5,0,0,0,,,,Tulane,1999
2,51,ARI,Johnny Rutledge,LB,22,2003,0,0,0,2,2,46,0,0,0,0,0,0,0,0,0,0,0,28,,,Florida,1999
2,52,TEN,John Thornton,DT,22,2008,0,0,7,50,19,143,0,0,0,0,0,0,0,0,0,0,0,203,1,27.5,West Virginia,1999
2,53,BUF,Peerless Price,WR,22,2007,0,0,6,43,29,123,1,1,25,0,0,23,173,0,403,5281,31,10,,,Tennessee,1999
2,54,KAN,Mike Cloud,RB,24,2005,0,0,0,6,4,78,0,0,0,0,0,193,648,12,13,100,0,5,,,Boston Col.,1999
2,55,DAL,Solomon Page,G,23,2003,0,0,3,22,19,67,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,1999
2,56,JAX,Larry Smith,DT,24,2004,0,0,0,9,9,64,0,0,0,0,0,0,0,0,0,0,0,56,,5.5,Florida St.,1999
2,57,NYJ,Randy Thomas,G,23,2009,0,0,9,52,23,143,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,1999
2,58,DEN,Montae Reagor,DT,22,2007,0,0,3,30,4,99,0,0,0,0,0,0,0,0,0,0,0,123,1,17,Texas Tech,1999
2,59,PIT,Scott Shields,DB,23,2000,0,0,0,5,5,26,0,0,0,0,0,0,0,0,0,0,0,24,4,1,Weber St.,1999
2,60,SDG,Jermaine Fazande,RB,24,2000,0,0,0,5,5,20,0,0,0,0,0,210,733,4,16,104,0,,,,Oklahoma,1999
2,61,DEN,Lennie Friedman,G,22,2007,0,0,2,20,13,97,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,1999
3,62,CLE,Daylon McCutcheon,DB,22,2005,0,0,7,33,33,103,0,0,0,0,0,0,0,0,0,0,0,391,12,7,USC,1999
3,63,IND,Brandon Burlsworth,G,,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,1999
3,64,PHI,Doug Brzezinski,G,23,2004,0,0,1,14,10,73,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,1999
3,65,CIN,Cory Hall,DB,22,2004,0,0,5,23,16,87,0,0,0,0,0,0,0,0,0,0,0,217,3,6,Fresno St.,1999
3,66,CHI,Rex Tucker,G,22,2006,0,0,1,14,10,49,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,1999
3,67,DEN,Chris Watson,DB,22,2002,0,0,0,9,3,58,0,0,0,0,0,0,0,0,0,0,0,88,2,,East. Illinois,1999
3,68,STL,Rich Coady,DB,23,2004,0,0,0,10,8,83,0,0,0,0,0,0,0,0,0,0,0,131,2,1,Texas A&M,1999
3,69,SDG,Steve Heiden,TE,22,2009,0,0,5,11,0,148,0,0,0,0,0,0,0,0,201,1689,14,10,,,South Dakota St.,1999
3,70,DET,Jared DeVries,DE,23,2008,0,0,3,19,19,120,0,0,0,0,0,0,0,0,0,0,0,132,,16.5,Iowa,1999
3,71,CHI,D'Wayne Bates,WR,23,2003,0,0,2,10,2,47,0,0,0,0,0,1,-2,0,80,1061,6,,,,Northwestern,1999
3,72,MIA,Grey Ruegamer,C,23,2008,0,0,1,15,,124,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,1999
3,73,PIT,Joey Porter,LB,22,2011,1,4,11,89,67,188,0,0,0,0,0,0,0,0,0,0,0,498,12,98,Colorado St.,1999
3,74,PIT,Kris Farris,T,22,2001,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,1999
3,75,KAN,Gary Stills,DE,25,2008,0,1,0,15,12,134,0,0,0,0,0,0,0,0,0,0,0,173,,8.5,West Virginia,1999
3,76,CLE,Marquis Smith,DB,24,2001,0,0,1,6,6,46,0,0,0,0,0,0,0,0,0,0,0,100,,1,California,1999
3,77,SEA,Brock Huard,QB,23,2003,0,0,0,2,2,8,60,107,689,4,2,9,48,0,0,0,0,,,,Washington,1999
