Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CLE,Courtney Brown,DE,22,2005,0,0,4,28,21,61,0,0,0,0,0,0,0,0,0,0,0,155,,19,Penn St.,2000
1,2,WAS,LaVar Arrington,LB,22,2006,0,3,4,46,45,85,0,0,0,0,0,0,0,0,0,0,0,331,3,23.5,Penn St.,2000
1,3,WAS,Chris Samuels,T,23,2009,0,6,9,63,63,141,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,2000
1,4,CIN,Peter Warrick,WR,23,2005,0,0,4,27,25,79,0,0,0,0,0,53,360,2,275,2991,18,12,,,Florida St.,2000
1,5,BAL,Jamal Lewis,RB,21,2009,1,1,9,71,53,131,0,0,0,0,0,2542,10607,58,221,1879,4,8,,,Tennessee,2000
1,6,PHI,Corey Simon,DT,23,2007,0,1,6,45,41,95,0,0,0,0,0,0,0,0,0,0,0,190,,32,Florida St.,2000
1,7,ARI,Thomas Jones,RB,22,2011,0,1,9,62,7,180,1,1,-4,0,0,2678,10591,68,308,2023,3,12,,,Virginia,2000
1,8,PIT,Plaxico Burress,WR,23,2012,0,0,9,69,32,148,0,0,0,0,0,1,-7,0,553,8499,64,13,,,Michigan St.,2000
1,9,CHI,Brian Urlacher HOF,LB,22,2012,4,8,12,118,118,182,0,1,0,0,0,0,0,0,1,27,1,1040,22,41.5,New Mexico,2000
1,10,BAL,Travis Taylor,WR,21,2007,0,0,6,32,24,101,0,0,0,0,0,32,232,0,312,4017,22,12,,,Florida,2000
1,11,NYG,Ron Dayne,RB,22,2007,0,0,1,22,10,96,0,0,0,0,0,983,3722,28,57,340,0,7,,,Wisconsin,2000
1,12,NYJ,Shaun Ellis,DE,23,2011,0,2,11,75,73,184,0,0,0,0,0,0,0,0,0,0,0,388,1,73.5,Tennessee,2000
1,13,NYJ,John Abraham,DE,22,2014,2,5,9,91,37,192,0,0,0,0,0,0,0,0,0,0,0,446,1,133.5,South Carolina,2000
1,14,GNB,Bubba Franks,TE,22,2008,0,3,6,19,18,122,1,1,31,1,0,0,0,0,262,2347,32,16,,,Miami (FL),2000
1,15,DEN,Deltha O'Neal,DB,23,2008,0,2,6,47,22,132,0,0,0,0,0,1,0,0,2,4,0,342,34,1,California,2000
1,16,SFO,Julian Peterson,LB,22,2010,1,5,9,75,42,158,0,0,0,0,0,0,0,0,0,0,0,595,8,51.5,Michigan St.,2000
1,17,OAK,Sebastian Janikowski,K,22,2018,0,1,18,40,40,270,0,0,0,0,0,0,0,0,0,0,0,19,,,Florida St.,2000
1,18,NYJ,Chad Pennington,QB,24,2010,0,0,6,55,41,89,1632,2471,17823,102,64,180,465,7,0,7,0,3,,,Marshall,2000
1,19,SEA,Shaun Alexander,RB,23,2008,1,3,7,70,70,123,0,0,0,0,0,2187,9453,100,215,1520,12,3,,,Alabama,2000
1,20,DET,Stockar McDougle,T,23,2006,0,0,3,22,20,81,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,2000
1,21,KAN,Sylvester Morris,WR,22,2000,0,0,1,6,6,15,1,1,31,0,0,0,0,0,48,678,3,,,,Jackson St.,2000
1,22,SEA,Chris McIntosh,T,23,2001,0,0,0,7,7,24,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,2000
1,23,CAR,Rashard Anderson,DB,23,2001,0,0,1,6,6,27,0,0,0,0,0,0,0,0,0,0,0,59,1,,Jackson St.,2000
1,24,SFO,Ahmed Plummer,DB,24,2005,0,0,4,23,23,70,0,0,0,0,0,0,0,0,0,0,0,268,12,,Ohio St.,2000
1,25,MIN,Chris Hovan,DT,22,2009,0,0,10,56,23,156,0,0,0,0,0,0,0,0,0,0,0,308,,22,Boston Col.,2000
1,26,BUF,Erik Flowers,DE,22,2004,0,0,0,6,4,58,0,0,0,0,0,0,0,0,0,0,0,38,1,5,Arizona St.,2000
1,27,NYJ,Anthony Becht,TE,23,2011,0,0,8,12,10,167,0,0,0,0,0,0,0,0,188,1537,21,17,,,West Virginia,2000
1,28,IND,Rob Morris,LB,25,2007,0,0,4,24,24,99,0,0,0,0,0,0,0,0,0,0,0,356,1,7,BYU,2000
1,29,JAX,R. Jay Soward,WR,22,2000,0,0,0,2,2,13,0,0,0,0,0,3,28,0,14,154,1,,,,USC,2000
1,30,TEN,Keith Bulluck,LB,23,2010,1,1,9,73,70,170,0,0,0,0,0,0,0,0,0,0,0,791,21,18,Syracuse,2000
1,31,STL,Trung Canidate,RB,23,2003,0,0,1,11,6,46,0,0,0,0,0,240,1095,7,32,260,1,11,,,Arizona,2000
2,32,CLE,Dennis Northcutt,WR,22,2009,0,0,2,41,28,144,0,1,0,0,0,52,366,1,399,4941,18,18,,,Arizona,2000
2,33,NOR,Darren Howard,DE,23,2009,0,0,7,42,31,145,0,0,0,0,0,0,0,0,0,0,0,262,3,67,Kansas St.,2000
2,34,CIN,Mark Roman,DB,23,2009,0,0,6,38,9,146,0,0,0,0,0,0,0,0,0,0,0,438,6,8,LSU,2000
2,35,SFO,John Engelberger,DE,23,2008,0,0,5,32,23,139,0,0,0,0,0,0,0,0,0,0,0,201,,20.5,Virginia Tech,2000
2,36,PHI,Todd Pinkston,WR,23,2004,0,0,4,27,27,78,0,0,0,0,0,3,-21,0,184,2816,14,6,,,Southern Miss,2000
2,37,ATL,Travis Claridge,G,22,2003,0,0,3,23,23,52,0,0,0,0,0,0,0,0,0,0,0,,,,USC,2000
2,38,PIT,Marvel Smith,T,22,2008,0,1,6,48,48,111,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,2000
2,39,CHI,Mike Brown,DB,22,2009,1,1,7,57,51,116,0,0,0,0,0,0,0,0,0,0,0,500,20,7,Nebraska,2000
2,40,DEN,Ian Gold,LB,22,2007,0,1,5,41,35,115,0,0,0,0,0,0,0,0,0,0,0,422,4,17,Michigan,2000
2,41,ARI,Raynoch Thompson,LB,22,2004,0,0,3,19,19,64,0,0,0,0,0,0,0,0,0,0,0,242,,7.5,Tennessee,2000
2,42,NYG,Cornelius Griffin,DT,23,2009,0,0,9,59,19,146,0,0,0,0,0,0,0,0,0,0,0,333,2,29,Alabama,2000
2,43,SDG,Rogers Beckett,DB,23,2004,0,0,3,17,12,71,0,0,0,0,0,0,0,0,0,0,0,216,4,4,Marshall,2000
2,44,GNB,Chad Clifton,T,24,2011,0,2,10,72,72,165,0,0,0,0,0,0,0,0,0,0,0,2,,,Tennessee,2000
2,45,DEN,Kenoy Kennedy,DB,22,2007,0,0,7,33,22,115,0,0,0,0,0,0,0,0,0,0,0,402,10,6,Arkansas,2000
2,46,NWE,Adrian Klemm,G,23,2005,0,0,1,10,6,42,0,0,0,0,0,0,0,0,0,0,0,,,,Hawaii,2000
2,47,OAK,Jerry Porter,WR,22,2008,0,0,4,34,33,115,0,0,0,0,0,9,17,0,295,4120,31,18,,,West Virginia,2000
2,48,SFO,Jason Webster,DB,22,2008,0,0,4,24,15,90,0,0,0,0,0,0,0,0,0,0,0,343,11,0.5,Texas A&M,2000
2,49,DAL,Dwayne Goodrich,DB,22,2002,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,,Tennessee,2000
2,50,DET,Barrett Green,LB,22,2005,0,0,4,21,17,65,0,0,0,0,0,0,0,0,0,0,0,191,,5,West Virginia,2000
2,51,TAM,Cosey Coleman,G,21,2006,0,0,6,34,25,100,0,0,0,0,0,0,0,0,1,5,0,,,,Tennessee,2000
2,52,SEA,Ike Charlton,DB,22,2003,0,0,0,5,3,53,0,0,0,0,0,0,0,0,0,0,0,72,2,2,Virginia Tech,2000
