Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CAR,Cam Newton,QB,22,2018,1,3,8,95,95,111,2050,3491,25570,161,95,846,4420,55,1,33,0,6,,,Auburn,2011
1,2,DEN,Von Miller,LB,22,2018,3,6,8,81,81,106,0,0,0,0,0,0,0,0,0,0,0,332,1,87.5,Texas A&M,2011
1,3,BUF,Marcell Dareus,DT,21,2018,1,2,6,49,47,102,0,0,0,0,0,0,0,0,0,0,0,229,,36,Alabama,2011
1,4,CIN,A.J. Green,WR,23,2018,0,7,8,64,64,104,0,0,0,0,0,11,93,0,567,8374,61,8,,,Georgia,2011
1,5,ARI,Patrick Peterson,DB,21,2018,3,7,8,77,77,114,1,1,17,0,0,7,34,0,10,64,0,313,22,3,LSU,2011
1,6,ATL,Julio Jones,WR,22,2018,2,5,7,77,77,97,0,0,0,0,0,16,120,0,600,9287,43,6,,,Alabama,2011
1,7,SFO,Aldon Smith,DE,21,2015,1,1,2,27,25,59,0,0,0,0,0,0,0,0,0,0,0,141,1,47.5,Missouri,2011
1,8,TEN,Jake Locker,QB,23,2014,0,0,1,15,15,30,408,709,4967,27,22,95,644,5,0,0,0,2,,,Washington,2011
1,9,DAL,Tyron Smith,T,20,2018,2,5,8,65,65,107,0,0,0,0,0,0,0,0,0,0,0,3,,,USC,2011
1,10,JAX,Blaine Gabbert,QB,21,2018,0,0,4,14,7,50,805,1439,8671,45,44,173,633,3,1,-16,0,1,,,Missouri,2011
1,11,HOU,J.J. Watt,DE,22,2018,4,4,6,84,84,90,0,0,0,0,0,0,0,0,3,4,3,316,1,76,Wisconsin,2011
1,12,MIN,Christian Ponder,QB,23,2014,0,0,3,22,22,38,632,1057,6658,38,36,126,639,7,1,-15,0,5,,,Florida St.,2011
1,13,DET,Nick Fairley,DT,23,2016,0,0,3,24,16,77,0,0,0,0,0,0,0,0,0,0,0,113,,20.5,Auburn,2011
1,14,STL,Robert Quinn,DE,21,2018,1,2,6,46,46,97,0,0,0,0,0,0,0,0,0,0,0,178,,63.5,North Carolina,2011
1,15,MIA,Mike Pouncey,G,22,2018,0,3,7,40,40,95,0,0,0,0,0,0,0,0,0,0,0,4,,,Florida,2011
1,16,WAS,Ryan Kerrigan,DE,23,2018,0,3,8,52,52,114,0,0,0,0,0,0,0,0,0,0,0,274,3,71.5,Purdue,2011
1,17,NWE,Nate Solder,T,23,2018,0,0,7,53,53,100,0,0,0,0,0,0,0,0,0,0,0,5,,,Colorado,2011
1,18,SDG,Corey Liuget,DT,21,2018,0,0,7,40,40,102,0,0,0,0,0,0,0,0,0,0,0,199,,22.5,Illinois,2011
1,19,NYG,Prince Amukamara,DB,22,2018,0,0,7,25,16,85,0,0,0,0,0,0,0,0,0,0,0,324,8,,Nebraska,2011
1,20,TAM,Adrian Clayborn,DE,23,2018,0,0,2,22,13,83,0,0,0,0,0,0,0,0,0,0,0,124,,30,Iowa,2011
1,21,CLE,Phil Taylor,DT,23,2018,0,0,2,20,20,44,0,0,0,0,0,0,0,0,0,0,0,69,,7,Baylor,2011
1,22,IND,Anthony Castonzo,T,23,2017,0,0,7,46,46,105,0,0,0,0,0,0,0,0,1,1,1,3,,,Boston Col.,2011
1,23,PHI,Danny Watkins,G,26,2013,0,0,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,2011
1,24,NOR,Cameron Jordan,DE,22,2018,1,3,8,58,58,114,0,0,0,0,0,0,0,0,0,0,0,244,2,61.5,California,2011
1,25,SEA,James Carpenter,T,22,2018,0,0,7,37,19,95,0,0,0,0,0,0,0,0,0,0,0,2,,,Alabama,2011
1,26,KAN,Jonathan Baldwin,WR,22,2013,0,0,0,4,4,33,0,0,0,0,0,0,0,0,44,607,2,2,,,Pittsburgh,2011
1,27,BAL,Jimmy Smith,DB,23,2018,0,0,5,27,27,86,0,0,0,0,0,0,0,0,0,0,0,224,11,1,Colorado,2011
1,28,NOR,Mark Ingram,RB,21,2018,0,2,4,46,46,94,0,0,0,0,0,1183,5362,44,207,1428,4,3,,,Alabama,2011
1,29,CHI,Gabe Carimi,T,23,2014,0,0,1,12,7,48,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin,2011
1,30,NYJ,Muhammad Wilkerson,DT,21,2018,0,1,7,63,63,107,0,0,0,0,0,0,0,0,0,0,0,245,2,44.5,Temple,2011
1,31,PIT,Cameron Heyward,DE,22,2018,1,1,5,42,42,104,0,0,0,0,0,0,0,0,0,0,0,187,,38,Ohio St.,2011
1,32,GNB,Derek Sherrod,T,22,2014,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi St.,2011
2,33,NWE,Ras-I Dowling,DB,23,2014,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,8,,,Virginia,2011
2,34,BUF,Aaron Williams,DB,21,2016,0,0,2,18,18,59,0,0,0,0,0,0,0,0,0,0,0,183,7,,Texas,2011
2,35,CIN,Andy Dalton,QB,23,2018,0,3,8,71,71,111,2262,3626,26042,173,94,348,1057,18,1,18,1,5,,,TCU,2011
2,36,SFO,Colin Kaepernick,QB,23,2016,0,0,4,45,45,69,1011,1692,12271,72,30,375,2300,13,0,0,0,1,,,Nevada,2011
2,37,CLE,Jabaal Sheard,DE,22,2018,0,0,6,40,26,107,0,0,0,0,0,0,0,0,0,0,0,210,,42.5,Pittsburgh,2011
2,38,ARI,Ryan Williams,RB,21,2014,0,0,0,1,1,5,0,0,0,0,0,58,164,0,7,44,0,,,,Virginia Tech,2011
2,39,TEN,Akeem Ayers,LB,22,2017,0,0,4,29,17,97,0,0,0,0,0,0,0,0,0,0,0,218,4,15.5,UCLA,2011
2,40,DAL,Bruce Carter,LB,23,2017,0,0,3,18,15,90,0,0,0,0,0,0,0,0,0,0,0,217,5,5,North Carolina,2011
2,41,WAS,Jarvis Jenkins,DT,23,2018,0,0,3,22,13,88,0,0,0,0,0,0,0,0,0,0,0,82,,7,Clemson,2011
2,42,HOU,Brooks Reed,LB,24,2018,0,0,5,33,24,106,0,0,0,0,0,0,0,0,0,0,0,164,1,20.5,Arizona,2011
2,43,MIN,Kyle Rudolph,TE,21,2018,0,2,8,26,26,98,0,0,0,0,0,0,0,0,330,3236,38,4,,,Notre Dame,2011
2,44,DET,Titus Young,WR,22,2012,0,0,2,8,8,26,0,0,0,0,0,4,31,0,81,990,10,2,,,Boise St.,2011
2,45,DEN,Rahim Moore,DB,21,2015,0,0,3,20,18,64,0,0,0,0,0,0,0,0,0,0,0,181,9,1,UCLA,2011
2,46,DEN,Orlando Franklin,T,23,2017,0,0,6,40,31,90,0,0,0,0,0,0,0,0,0,0,0,4,,,Miami (FL),2011
2,47,STL,Lance Kendricks,TE,23,2018,0,0,7,15,13,111,0,0,0,0,0,1,-8,0,224,2352,18,6,,,Wisconsin,2011
2,48,OAK,Stefen Wisniewski,C,22,2018,0,0,7,37,23,109,0,0,0,0,0,0,0,0,0,0,0,3,,,Penn St.,2011
2,49,IND,Ben Ijalana,T,22,2018,0,0,1,7,0,34,0,0,0,0,0,0,0,0,0,0,0,,,,Villanova,2011
2,50,SDG,Marcus Gilchrist,DB,22,2018,0,0,6,28,14,109,0,0,0,0,0,0,0,0,0,0,0,344,11,4,Clemson,2011
2,51,TAM,Da'Quan Bowers,DE,21,2015,0,0,0,7,7,53,0,0,0,0,0,0,0,0,0,0,0,46,,7,Clemson,2011
2,52,NYG,Marvin Austin,DT,22,2014,0,0,0,2,1,26,0,0,0,0,0,0,0,0,0,0,0,17,,,North Carolina,2011
2,53,CHI,Stephen Paea,DT,23,2017,0,0,3,22,18,83,0,0,0,0,0,0,0,0,0,0,0,76,,14,Oregon St.,2011
2,54,PHI,Jaiquawn Jarrett,DB,21,2015,0,0,0,5,1,47,0,0,0,0,0,0,0,0,0,0,0,61,2,1.5,Temple,2011
2,55,KAN,Rodney Hudson,C,22,2018,0,2,6,37,15,98,0,0,0,0,0,0,0,0,0,0,0,3,,,Florida St.,2011
2,56,NWE,Shane Vereen,RB,22,2018,0,0,0,25,16,79,0,1,0,0,1,356,1489,8,221,1865,11,3,,,California,2011
2,57,DET,Mikel Leshoure,RB,21,2013,0,0,1,5,5,17,0,0,0,0,0,217,807,9,34,214,0,1,,,Illinois,2011
2,58,BAL,Torrey Smith,WR,22,2018,0,0,8,36,29,110,0,0,0,0,0,8,45,0,306,4999,40,6,,,Maryland,2011
2,59,CLE,Greg Little,WR,22,2018,0,0,3,13,12,54,0,0,0,0,0,5,30,0,161,1890,8,9,,,North Carolina,2011
