Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,DET,Matthew Stafford,QB,21,2018,0,1,9,85,85,127,3066,4949,35382,220,122,273,963,14,2,-3,0,7,,,Georgia,2009
1,2,STL,Jason Smith,T,23,2012,0,0,1,10,9,45,0,0,0,0,0,0,0,0,0,0,0,3,,,Baylor,2009
1,3,KAN,Tyson Jackson,DE,23,2016,0,0,6,35,24,122,0,0,0,0,0,0,0,0,0,0,0,165,,9,LSU,2009
1,4,SEA,Aaron Curry,LB,23,2012,0,0,3,17,13,48,0,0,0,0,0,0,0,0,0,0,0,190,,5.5,Wake Forest,2009
1,5,NYJ,Mark Sanchez,QB,22,2016,0,0,5,34,27,77,1295,2285,15219,86,86,169,449,13,0,0,0,3,,,USC,2009
1,6,CIN,Andre Smith,T,22,2018,0,0,6,42,41,100,0,0,0,0,0,0,0,0,0,0,0,7,,,Alabama,2009
1,7,OAK,Darrius Heyward-Bey,WR,22,2018,0,0,5,22,16,132,0,0,0,0,0,14,201,2,201,2888,16,11,,,Maryland,2009
1,8,JAX,Eugene Monroe,T,22,2015,0,0,6,33,23,93,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,2009
1,9,GNB,B.J. Raji,DT,23,2015,0,1,5,33,33,91,0,0,0,0,0,1,1,1,0,0,0,104,,11,Boston Col.,2009
1,10,SFO,Michael Crabtree,WR,21,2018,0,0,9,50,33,127,0,0,0,0,0,3,18,0,587,6964,52,6,,,Texas Tech,2009
1,11,BUF,Aaron Maybin,DE,21,2012,0,0,0,5,2,48,0,0,0,0,0,0,0,0,0,0,0,25,,6,Penn St.,2009
1,12,DEN,Knowshon Moreno,RB,22,2014,0,0,3,33,32,63,0,0,0,0,0,876,3616,27,158,1409,9,3,,,Georgia,2009
1,13,WAS,Brian Orakpo,LB,23,2018,0,4,8,54,33,121,0,0,0,0,0,0,0,0,0,0,0,278,1,64.5,Texas,2009
1,14,NOR,Malcolm Jenkins,DB,21,2018,0,2,9,52,24,137,0,0,0,0,0,0,0,0,0,0,0,533,16,6.5,Ohio St.,2009
1,15,HOU,Brian Cushing,LB,22,2017,0,1,6,52,52,104,0,0,0,0,0,0,0,0,0,0,0,428,8,13.5,USC,2009
1,16,SDG,Larry English,LB,23,2014,0,0,0,7,7,64,0,0,0,0,0,0,0,0,0,0,0,60,,12,Northern Illinois,2009
1,17,TAM,Josh Freeman,QB,21,2015,0,0,4,38,37,62,1179,2048,13873,81,68,205,946,4,0,-3,0,6,,,Kansas St.,2009
1,18,DEN,Robert Ayers,DE,24,2017,0,0,5,27,13,120,0,0,0,0,0,0,0,0,0,0,0,195,,34.5,Tennessee,2009
1,19,PHI,Jeremy Maclin,WR,21,2017,0,1,8,51,34,114,0,1,0,0,0,10,43,0,514,6835,49,17,,,Missouri,2009
