,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CLE,Myles Garrett,DE,21,2018,0,0,2,4,4,13,0,0,0,0,0,0,0,0,0,0,0,25,,9,Texas A&M,2017
1,2,CHI,Mitch Trubisky,QB,23,2018,0,0,2,7,7,13,219,365,2364,7,7,48,280,3,0,0,0,,,,North Carolina,2017
1,3,SFO,Solomon Thomas,DE,21,2018,0,0,2,6,6,16,0,0,0,0,0,0,0,0,0,0,0,36,,3,Stanford,2017
1,4,JAX,Leonard Fournette,RB,22,2018,0,0,2,8,8,14,0,0,0,0,0,277,1081,9,39,316,1,,,,LSU,2017
1,5,TEN,Corey Davis,WR,22,2018,0,0,2,3,3,13,0,0,0,0,0,0,0,0,45,492,0,,,,West. Michigan,2017
1,6,NYJ,Jamal Adams,S,21,2018,0,0,2,7,7,18,0,0,0,0,0,0,0,0,0,0,0,72,1,3,LSU,2017
1,7,LAC,Mike Williams,WR,22,2018,0,0,1,1,1,12,0,0,0,0,0,0,0,0,18,203,1,,,,Clemson,2017
1,8,CAR,Christian McCaffrey,RB,21,2018,0,0,2,9,9,18,0,0,0,0,0,135,522,2,100,798,5,,,,Stanford,2017
1,9,CIN,John Ross,WR,22,2018,0,0,1,0,0,5,0,0,0,0,0,2,9,0,2,11,1,,,,Washington,2017
1,10,KAN,Patrick Mahomes,QB,21,2018,0,0,1,1,1,3,60,90,866,10,1,17,49,0,0,0,0,,,,Texas Tech,2017
1,11,NOR,Marshon Lattimore,CB,21,2018,0,1,2,8,8,15,0,0,0,0,0,0,0,0,0,0,0,50,5,,Ohio St.,2017
1,12,HOU,Deshaun Watson,QB,21,2018,0,0,1,7,7,9,165,270,2185,22,10,49,353,2,0,0,0,,,,Clemson,2017
1,13,ARI,Haason Reddick,LB,22,2018,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,23,,2.5,Temple,2017
1,14,PHI,Derek Barnett,DE,21,2018,0,0,1,3,3,17,0,0,0,0,0,0,0,0,0,0,0,22,,5,Tennessee,2017
1,15,IND,Malik Hooker,S,21,2018,0,0,1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,20,3,,Ohio St.,2017
1,16,BAL,Marlon Humphrey,CB,21,2018,0,0,1,3,3,18,0,0,0,0,0,0,0,0,0,0,0,37,2,,Alabama,2017
1,17,WAS,Jonathan Allen,DE,22,2018,0,0,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,6,,1,Alabama,2017
1,18,TEN,Adoree' Jackson,CB,21,2018,0,0,2,6,6,18,0,0,0,0,0,5,55,0,0,0,0,71,1,,USC,2017
1,19,TAM,O.J. Howard,TE,22,2018,0,0,2,3,3,16,0,0,0,0,0,0,0,0,31,582,7,,,,Alabama,2017
1,20,DEN,Garett Bolles,T,25,2018,0,0,2,6,6,18,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,2017
1,21,DET,Jarrad Davis,LB,21,2018,0,0,2,7,7,16,0,0,0,0,0,0,0,0,0,0,0,73,1,4,Florida,2017
1,22,MIA,Charles Harris,OLB,22,2018,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,15,,2,Missouri,2017
1,23,NYG,Evan Engram,TE,23,2018,0,0,2,5,5,17,0,0,0,0,0,1,14,0,73,807,7,,,,Mississippi,2017
1,24,OAK,Gareon Conley,CB,22,2018,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,,,Ohio St.,2017
1,25,CLE,Jabrill Peppers,S,21,2018,0,0,2,5,5,15,0,0,0,0,0,0,0,0,0,0,0,50,1,,Michigan,2017
1,26,ATL,Takkarist McKinley,DE,21,2018,0,0,1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,18,,8,UCLA,2017
1,27,BUF,TreDavious White,CB,22,2018,0,0,2,5,5,18,0,0,0,0,0,0,0,0,0,0,0,57,4,,LSU,2017
1,28,DAL,Taco Charlton,DE,22,2018,0,0,1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,19,,4,Michigan,2017
1,29,CLE,David Njoku,TE,21,2018,0,0,1,2,2,18,0,0,0,0,0,1,1,0,39,419,4,,,,Miami (FL),2017
1,30,PIT,T.J. Watt,OLB,22,2018,0,0,2,7,7,17,0,0,0,0,0,0,0,0,0,0,0,47,1,10,Wisconsin,2017
1,31,SFO,Reuben Foster,LB,23,2018,0,0,1,5,5,10,0,0,0,0,0,0,0,0,0,0,0,59,,,Alabama,2017
1,32,NOR,Ryan Ramczyk,T,23,2018,0,0,2,10,10,18,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,2017
2,33,GNB,Kevin King,CB,22,2018,0,0,1,2,2,11,0,0,0,0,0,0,0,0,0,0,0,24,,,Washington,2017
2,34,JAX,Cam Robinson,T,21,2018,0,0,2,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2017
2,35,SEA,Malik McDowell,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,2017
2,36,ARI,Budda Baker,S,21,2018,1,1,1,9,9,18,0,0,0,0,0,0,0,0,0,0,0,57,,1,Washington,2017
2,37,BUF,Zay Jones,WR,22,2018,0,0,2,3,3,17,0,0,0,0,0,0,0,0,32,405,2,,,,East Carolina,2017
2,38,LAC,Forrest Lamp,G,23,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,West. Kentucky,2017
2,39,NYJ,Marcus Maye,S,24,2018,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,56,2,,Florida,2017
2,40,CAR,Curtis Samuel,WR,21,2018,0,0,0,2,2,9,0,0,0,0,0,4,64,0,15,115,0,,,,Ohio St.,2017
2,41,MIN,Dalvin Cook,RB,22,2018,0,0,1,4,4,6,0,0,0,0,0,100,432,2,20,197,0,,,,Florida St.,2017
2,42,NOR,Marcus Williams,S,20,2018,0,0,2,6,6,17,0,0,0,0,0,0,0,0,0,0,0,64,5,,Utah,2017
2,43,PHI,Sidney Jones,CB,21,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,,,Washington,2017
2,44,LAR,Gerald Everett,TE,23,2018,0,0,0,3,3,18,0,0,0,0,0,1,13,0,17,261,2,,,,South Alabama,2017
2,45,CHI,Adam Shaheen,TE,23,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,12,127,3,,,,Ashland,2017
2,46,IND,Quincy Wilson,CB,21,2018,0,0,1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,20,1,,Florida,2017
2,47,BAL,Tyus Bowser,OLB,22,2018,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,8,1,3,Houston,2017
2,48,CIN,Joe Mixon,RB,21,2018,0,0,1,7,7,16,0,0,0,0,0,216,805,5,36,344,0,,,,Oklahoma,2017
2,49,WAS,Ryan Anderson,OLB,23,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,12,,1,Alabama,2017
2,50,TAM,Justin Evans,S,22,2018,0,0,2,3,3,16,0,0,0,0,0,0,0,0,0,0,0,58,3,,Texas A&M,2017
2,51,DEN,DeMarcus Walker,DE,22,2018,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,7,,1,Florida St.,2017
