,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,MIA,Jake Long,T,23,2016,1,4,6,55,46,104,0,0,0,0,0,0,0,0,0,0,0,4,,,Michigan,2008
1,2,STL,Chris Long,DE,23,2018,0,0,5,47,41,148,0,0,0,0,0,0,0,0,0,0,0,239,,65,Virginia,2008
1,3,ATL,Matt Ryan,QB,23,2018,1,4,11,120,120,160,3674,5664,42319,262,128,357,1049,7,0,0,0,1,,,Boston Col.,2008
1,4,OAK,Darren McFadden,RB,21,2017,0,0,4,39,32,103,1,4,16,1,0,1302,5421,28,254,2114,5,12,,,Arkansas,2008
1,5,KAN,Glenn Dorsey,DT,23,2016,0,0,5,38,27,104,0,0,0,0,0,0,0,0,0,0,0,225,,7,LSU,2008
1,6,NYJ,Vernon Gholston,DE,22,2010,0,0,0,8,8,45,0,0,0,0,0,0,0,0,0,0,0,16,,,Ohio St.,2008
1,7,NOR,Sedrick Ellis,DT,23,2012,0,0,5,27,27,70,0,0,0,0,0,0,0,0,0,0,0,100,,12.5,USC,2008
1,8,JAX,Derrick Harvey,DE,21,2011,0,0,2,14,14,52,0,0,0,0,0,0,0,0,0,0,0,72,1,8,Florida,2008
1,9,CIN,Keith Rivers,LB,22,2014,0,0,3,24,15,74,0,0,0,0,0,0,0,0,0,0,0,183,2,3,USC,2008
1,10,NWE,Jerod Mayo,LB,22,2015,1,2,6,52,52,103,0,0,0,0,0,0,0,0,0,0,0,535,3,11,Tennessee,2008
1,11,BUF,Leodis McKelvin,DB,23,2016,0,0,4,29,25,111,0,0,0,0,0,0,0,0,0,0,0,291,15,,Troy,2008
1,12,DEN,Ryan Clady,T,22,2016,2,4,7,65,62,107,0,0,0,0,0,0,0,0,0,0,0,4,,,Boise St.,2008
1,13,CAR,Jonathan Stewart,RB,21,2018,0,1,4,49,49,133,0,0,0,0,0,1703,7327,51,162,1295,7,8,,,Oregon,2008
1,14,CHI,Chris Williams,T,23,2014,0,0,4,25,16,72,0,0,0,0,0,0,0,0,1,4,0,2,,,Vanderbilt,2008
1,15,KAN,Branden Albert,G,23,2016,0,2,9,44,27,120,0,0,0,0,0,0,0,0,0,0,0,5,,,Virginia,2008
1,16,ARI,Dominique Rodgers-Cromartie,DB,22,2018,0,2,8,51,18,155,0,0,0,0,0,0,0,0,0,0,0,388,30,2.5,Tennessee St.,2008
1,17,DET,Gosder Cherilus,T,24,2016,0,0,8,50,28,132,0,0,0,0,0,0,0,0,0,0,0,3,,,Boston Col.,2008
1,18,BAL,Joe Flacco,QB,23,2018,0,0,11,86,86,156,3324,5380,36392,205,132,331,777,16,2,35,0,6,,,Delaware,2008
1,19,CAR,Jeff Otah,T,22,2011,0,0,2,14,14,29,0,0,0,0,0,0,0,0,0,0,0,2,,,Pittsburgh,2008
1,20,TAM,Aqib Talib,DB,22,2018,1,5,9,63,14,137,0,0,0,0,0,0,0,0,0,0,0,366,34,1,Kansas,2008
1,21,ATL,Sam Baker,T,23,2014,0,0,3,32,32,75,0,0,0,0,0,0,0,0,0,0,0,3,,,USC,2008
1,22,DAL,Felix Jones,RB,21,2013,0,0,1,27,26,80,0,0,0,0,0,617,2912,11,136,1125,3,4,,,Arkansas,2008
1,23,PIT,Rashard Mendenhall,RB,21,2013,0,0,4,29,26,72,0,0,0,0,0,1081,4236,37,95,795,2,6,,,Illinois,2008
1,24,TEN,Chris Johnson,RB,22,2017,1,3,7,71,63,130,0,1,0,0,0,2163,9651,55,307,2255,9,8,,,East Carolina,2008
1,25,DAL,Mike Jenkins,DB,23,2015,0,1,4,27,21,101,0,0,0,0,0,0,0,0,0,0,0,218,10,,South Florida,2008
1,26,HOU,Duane Brown,T,23,2018,1,4,11,68,64,143,0,0,0,0,0,0,0,0,0,0,0,6,,,Virginia Tech,2008
1,27,SDG,Antoine Cason,DB,22,2014,0,0,4,27,20,110,0,0,0,0,0,0,0,0,0,0,0,302,16,,Arizona,2008
1,28,SEA,Lawrence Jackson,DE,23,2012,0,0,2,14,10,69,0,0,0,0,0,0,0,0,0,0,0,97,,19.5,USC,2008
1,29,SFO,Kentwan Balmer,DT,21,2012,0,0,1,7,2,46,0,0,0,0,0,0,0,0,0,0,0,39,,,North Carolina,2008
1,30,NYJ,Dustin Keller,TE,23,2012,0,0,3,22,22,72,0,0,0,0,0,1,7,0,241,2876,17,7,,,Purdue,2008
1,31,NYG,Kenny Phillips,DB,21,2015,0,0,2,16,15,59,0,0,0,0,0,0,0,0,0,0,0,208,8,,Miami (FL),2008
2,32,MIA,Phillip Merling,DE,23,2013,0,0,0,6,6,53,0,0,0,0,0,0,0,0,0,0,0,53,1,3.5,Clemson,2008
2,33,STL,Donnie Avery,WR,24,2014,0,0,4,21,8,77,0,0,0,0,0,20,114,1,218,2861,14,5,,,Houston,2008
