Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,SDG,Eli Manning,QB,23,2018,0,4,14,112,,218,4480,7477,52185,340,229,300,546,6,0,0,0,2,,,Mississippi,2004
1,2,OAK,Robert Gallery,T,24,2011,0,0,7,38,34,104,0,0,0,0,0,0,0,0,0,0,0,4,,,Iowa,2004
1,3,ARI,Larry Fitzgerald,WR,21,2018,1,11,15,89,89,220,1,3,21,0,0,20,68,0,1244,15649,110,32,,,Pittsburgh,2004
1,4,NYG,Philip Rivers,QB,22,2018,0,7,13,134,,198,4228,6570,51028,348,167,338,578,3,0,-9,0,10,,,North Carolina St.,2004
1,5,WAS,Sean Taylor,DB,21,2007,0,2,4,31,31,55,0,0,0,0,0,0,0,0,0,0,0,238,12,2,Miami (FL),2004
1,6,CLE,Kellen Winslow,TE,21,2013,0,1,6,38,19,105,0,0,0,0,0,1,7,0,469,5236,25,11,,,Miami (FL),2004
1,7,DET,Roy Williams,WR,22,2011,0,1,7,42,30,115,0,1,0,0,0,6,17,0,393,5715,44,10,,,Texas,2004
1,8,ATL,DeAngelo Hall,DB,20,2017,0,3,10,62,26,171,0,0,0,0,0,0,0,0,1,0,0,636,43,2,Virginia Tech,2004
1,9,JAX,Reggie Williams,WR,21,2008,0,0,3,23,23,79,0,0,0,0,0,11,44,0,189,2322,18,4,,,Washington,2004
1,10,HOU,Dunta Robinson,DB,22,2013,0,0,8,39,21,139,0,0,0,0,0,0,0,0,0,0,0,500,17,5.5,South Carolina,2004
1,11,PIT,Ben Roethlisberger,QB,22,2018,0,6,15,120,120,202,4226,6594,51852,333,177,443,1277,17,1,-11,0,8,,,Miami (OH),2004
1,12,NYJ,Jonathan Vilma,LB,22,2013,0,3,8,57,24,125,0,0,0,0,0,0,0,0,0,0,0,612,12,10.5,Miami (FL),2004
1,13,BUF,Lee Evans,WR,23,2011,0,0,7,49,48,118,0,1,0,0,0,10,145,0,381,6008,43,27,,,Wisconsin,2004
1,14,CHI,Tommie Harris,DT,21,2011,0,3,6,54,53,117,0,0,0,0,0,0,0,0,0,0,0,182,1,31.5,Oklahoma,2004
1,15,TAM,Michael Clayton,WR,21,2011,0,0,5,22,22,95,0,1,0,0,0,18,100,0,223,2955,10,12,,,LSU,2004
1,16,PHI,Shawn Andrews,G,21,2010,1,2,3,38,34,63,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas,2004
1,17,DEN,D.J. Williams,LB,22,2014,0,0,9,54,51,145,0,0,0,0,0,0,0,0,0,0,0,676,2,22.5,Miami (FL),2004
1,18,NOR,Will Smith,DE,23,2012,0,1,8,52,52,139,0,0,0,0,0,0,0,0,0,0,0,324,2,67.5,Ohio St.,2004
1,19,MIA,Vernon Carey,T,23,2011,0,0,7,44,44,121,0,0,0,0,0,0,0,0,0,0,0,1,,,Miami (FL),2004
1,20,MIN,Kenechi Udeze,DE,21,2007,0,0,3,19,19,51,0,0,0,0,0,0,0,0,0,0,0,86,,11,USC,2004
1,21,NWE,Vince Wilfork,NT,22,2016,1,5,10,91,82,189,0,0,0,0,0,0,0,0,0,0,0,370,3,16,Miami (FL),2004
1,22,BUF,J.P. Losman,QB,23,2011,0,0,2,19,19,45,564,952,6271,33,34,105,490,3,0,0,0,2,,,Tulane,2004
1,23,SEA,Marcus Tubbs,DT,23,2006,0,0,1,9,9,29,0,0,0,0,0,0,0,0,0,0,0,37,,7,Texas,2004
1,24,STL,Steven Jackson,RB,21,2015,0,3,10,74,67,160,1,1,2,1,0,2764,11438,69,461,3683,9,10,,,Oregon St.,2004
1,25,GNB,Ahmad Carroll,DB,21,2009,0,0,2,14,13,57,0,0,0,0,0,0,0,0,0,11,0,117,3,3,Arkansas,2004
1,26,CIN,Chris Perry,RB,22,2008,0,0,0,9,9,35,0,0,0,0,0,177,606,2,83,474,2,2,,,Michigan,2004
1,27,HOU,Jason Babin,LB,24,2015,0,2,5,46,9,148,0,0,0,0,0,0,0,0,0,0,0,284,,64.5,West. Michigan,2004
1,28,CAR,Chris Gamble,DB,21,2012,0,0,8,47,47,123,0,0,0,0,0,0,0,0,0,0,0,438,27,1,Ohio St.,2004
1,29,ATL,Michael Jenkins,WR,22,2012,0,0,6,39,32,130,0,0,0,0,0,2,4,0,354,4427,25,17,,,Ohio St.,2004
1,30,DET,Kevin Jones,RB,22,2008,0,0,4,27,26,64,0,0,0,0,0,795,3176,24,143,1011,3,9,,,Virginia Tech,2004
1,31,SFO,Rashaun Woods,WR,23,2004,0,0,0,1,1,14,0,0,0,0,0,0,0,0,7,160,1,,,,Oklahoma St.,2004
1,32,NWE,Ben Watson,TE,23,2018,0,0,11,40,17,181,0,0,0,0,0,2,10,0,502,5548,42,9,,,Georgia,2004
2,33,ARI,Karlos Dansby,LB,22,2017,0,0,13,82,51,212,0,0,0,0,0,0,0,0,0,0,0,1073,20,43,Auburn,2004
2,34,NYG,Chris Snee,G,22,2013,1,4,9,75,75,141,0,0,0,0,0,0,0,0,0,0,0,10,,,Boston Col.,2004
2,35,SDG,Igor Olshansky,DE,22,2011,0,0,7,37,26,115,0,0,0,0,0,0,0,0,0,0,0,166,1,12.5,Oregon,2004
2,36,KAN,Junior Siavii,DT,25,2010,0,0,0,6,2,56,0,0,0,0,0,0,0,0,0,0,0,46,,1,Oregon,2004
2,37,DET,Teddy Lehman,LB,22,2008,0,0,1,9,9,45,0,0,0,0,0,0,0,0,0,0,0,105,2,1,Oklahoma,2004
2,38,PIT,Ricardo Colclough,DB,22,2009,0,0,0,2,2,43,0,0,0,0,0,0,0,0,0,0,0,55,1,2.5,Tusculum,2004
2,39,JAX,Daryl Smith,LB,22,2016,0,0,12,72,46,190,0,0,0,0,0,0,0,0,0,0,0,774,12,30.5,Georgia Tech,2004
2,40,TEN,Ben Troupe,TE,22,2008,0,0,2,8,8,57,0,0,0,0,0,1,-1,0,106,1056,7,6,,,Florida,2004
2,41,DEN,Tatum Bell,RB,23,2008,0,0,1,22,20,54,0,0,0,0,0,569,2773,16,71,419,0,8,,,Oklahoma St.,2004
2,42,TEN,Travis LaBoy,DE,23,2011,0,0,3,21,10,95,0,0,0,0,0,0,0,0,0,0,0,147,1,29.5,Hawaii,2004
2,43,DAL,Julius Jones,RB,23,2010,0,0,5,38,29,94,0,0,0,0,0,1280,5068,22,150,1029,2,6,,,Notre Dame,2004
2,44,IND,Bob Sanders,DB,23,2011,2,2,2,32,31,50,0,0,0,0,0,0,0,0,0,0,0,224,6,3.5,Iowa,2004
2,45,OAK,Jake Grove,C,24,2009,0,0,4,20,15,66,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,2004
2,46,SFO,Justin Smiley,G,22,2010,0,0,5,30,16,88,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2004
2,47,CHI,Tank Johnson,DT,22,2010,0,0,2,21,10,91,0,0,0,0,0,0,0,0,0,0,0,93,,14,Washington,2004
2,48,MIN,Dontarrious Thomas,LB,24,2008,0,0,0,8,8,63,0,0,0,0,0,0,0,0,0,0,0,102,,1.5,Auburn,2004
2,49,CIN,Keiwan Ratliff,DB,23,2010,0,0,0,9,6,76,0,0,0,0,0,0,0,0,0,0,0,127,5,,Florida,2004
2,50,NOR,Devery Henderson,WR,22,2012,0,0,6,36,36,124,0,0,0,0,0,18,119,1,245,4377,20,12,,,LSU,2004
2,51,BAL,Dwan Edwards,DT,23,2015,0,0,5,33,14,136,0,0,0,0,0,0,0,0,0,0,0,222,3,19.5,Oregon St.,2004
2,52,DAL,Jacob Rogers,T,23,2004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,USC,2004
2,53,SEA,Michael Boulware,DB,22,2007,0,0,2,17,16,64,0,0,0,0,0,0,0,0,0,0,0,143,11,3,Florida St.,2004
2,54,DEN,Darius Watts,WR,22,2005,0,0,0,4,4,22,0,0,0,0,0,5,33,0,33,407,1,1,,,Marshall,2004
2,55,JAX,Greg Jones,RB,23,2013,0,0,4,9,9,131,0,0,0,0,0,272,913,10,73,471,3,24,,,Florida St.,2004
2,56,CIN,Madieu Williams,DB,22,2012,0,0,7,34,16,119,0,0,0,0,0,0,0,0,0,0,0,448,13,5.5,Maryland,2004
2,57,TEN,Antwan Odom,DE,22,2010,0,0,4,23,15,74,0,0,0,0,0,0,0,0,0,0,0,96,,23.5,Alabama,2004
2,58,SFO,Shawntae Spencer,DB,22,2012,0,0,5,28,27,100,0,0,0,0,0,0,0,0,0,0,0,311,11,2.5,Pittsburgh,2004
2,59,CLE,Sean Jones,DB,22,2011,0,0,6,31,18,107,0,0,0,0,0,0,0,0,0,0,0,377,17,4,Georgia,2004
2,60,NOR,Courtney Watson,LB,23,2005,0,0,1,7,7,21,0,0,0,0,0,0,0,0,0,0,0,68,,3,Notre Dame,2004
2,61,KAN,Kris Wilson,TE,23,2011,0,0,2,3,2,97,0,0,0,0,0,4,13,0,52,446,5,21,,,Pittsburgh,2004
2,62,CAR,Keary Colbert,WR,22,2011,0,0,3,14,13,75,0,0,0,0,0,1,6,0,130,1629,8,8,,,USC,2004
2,63,NWE,Marquise Hill,DE,22,2006,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,,,LSU,2004
3,64,ARI,Darnell Dockett,DT,23,2014,0,3,10,72,72,158,0,0,0,0,0,0,0,0,0,0,0,349,4,40.5,Florida St.,2004
3,65,SDG,Nate Kaeding,K,22,2012,1,2,7,22,22,115,0,0,0,0,0,0,0,0,0,0,0,15,,,Iowa,2004
3,66,SDG,Nick Hardwick,C,22,2014,0,1,9,68,68,136,0,0,0,0,0,0,0,0,0,0,0,7,,,Purdue,2004
3,67,OAK,Stuart Schweigert,DB,23,2008,0,0,3,15,15,69,0,0,0,0,0,0,0,0,0,0,0,264,4,,Purdue,2004
3,68,IND,Ben Hartsock,TE,24,2013,0,0,2,2,0,131,0,0,0,0,0,0,0,0,31,312,1,6,,,Ohio St.,2004
3,69,IND,Gilbert Gardner,LB,22,2008,0,0,1,8,7,53,0,0,0,0,0,0,0,0,0,0,0,73,1,1,Purdue,2004
3,70,GNB,Joey Thomas,DB,24,2008,0,0,0,3,2,31,0,0,0,0,0,0,0,0,0,0,0,33,,,Montana St.,2004
3,71,TEN,Randy Starks,DT,20,2015,0,2,8,62,10,186,0,0,0,0,0,0,0,0,0,0,0,292,4,42,Maryland,2004
3,72,GNB,Donnell Washington,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2004
3,73,DET,Keith Smith,DB,24,2009,0,0,0,7,7,74,0,0,0,0,0,0,0,0,0,0,0,120,4,1,McNeese St.,2004
3,74,BUF,Tim Anderson,DT,23,2007,0,0,1,7,7,43,0,0,0,0,0,0,0,0,0,0,0,52,,1,Ohio St.,2004
3,75,PIT,Max Starks,T,22,2013,0,0,6,45,45,125,0,0,0,0,0,0,0,0,0,0,0,4,,,Florida,2004
3,76,NYJ,Derrick Strait,DB,24,2006,0,0,0,3,3,29,0,0,0,0,0,0,0,0,0,0,0,54,,,Oklahoma,2004
3,77,SFO,Derrick Hamilton,WR,22,2004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,2004
3,78,CHI,Bernard Berrian,WR,23,2011,0,0,5,33,14,109,0,0,0,0,0,17,82,0,288,4122,24,12,,,Fresno St.,2004
3,79,TAM,Marquis Cooper,LB,22,2008,0,0,0,3,2,42,0,0,0,0,0,0,0,0,0,0,0,34,,,Washington,2004
3,80,CIN,Caleb Miller,LB,24,2007,0,0,0,10,10,39,0,0,0,0,0,0,0,0,0,0,0,111,,1,Arkansas,2004
3,81,WAS,Chris Cooley,TE,22,2012,0,2,6,34,34,117,0,0,0,0,0,2,3,0,429,4711,33,9,,,Utah St.,2004
3,82,BAL,Devard Darling,WR,22,2008,0,0,1,4,2,46,0,0,0,0,0,0,0,0,37,578,4,13,,,Washington St.,2004
3,83,DAL,Stephen Peterman,G,22,2012,0,0,6,37,0,90,0,0,0,0,0,0,0,0,0,0,0,5,,,LSU,2004
3,84,SEA,Sean Locklear,T,23,2012,0,0,6,39,32,117,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,2004
3,85,DEN,Jeremy LeSueur,DB,23,2005,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,2004
3,86,JAX,Jorge Cordova,LB,22,2007,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,7,,,Nevada,2004
3,87,GNB,B.J. Sander,P,24,2005,0,0,1,1,1,14,1,1,4,0,0,1,-11,0,0,0,0,,,,Ohio St.,2004
3,88,MIN,Darrion Scott,DE,22,2011,0,0,2,15,15,57,0,0,0,0,0,0,0,0,0,0,0,80,,9.5,Ohio St.,2004
3,89,PHI,Matt Ware,DB,21,2010,0,0,0,6,2,95,0,0,0,0,0,0,0,0,0,0,0,93,1,,UCLA,2004
3,90,ATL,Matt Schaub,QB,23,2018,0,2,7,69,2,146,2093,3274,24867,133,90,190,360,4,1,-6,0,3,,,Virginia,2004
3,91,STL,Anthony Hargrove,DE,21,2011,0,0,1,17,9,102,0,0,0,0,0,0,0,0,0,0,0,168,,19.5,Georgia Tech,2004
