 Rnk, Player Name, School, Conf, Games Played, Cmp (passing), Att (passing),  Percent (passing),  Yards (passing),  Avg Yards (passing),AY/A (passing),TD (passing), Interceptins (passing), Rate (passing), Att (rushing), Yds (rushing), Avg Yards (rushing), TD (rushing), Year
1,Bob Newman,Washington State,PCC,10,91,170,53.5,1240,7.3,6.1,8,8,120.9,43,-63,-1.5,1,1956
2,John Brodie,Stanford,PCC,10,139,240,57.9,1633,6.8,5.2,12,14,119.9,55,9,0.2,null,1956
3,Bob Reinhart,San Jose State,Ind,10,90,172,52.3,1138,6.6,6.5,10,5,121.3,40,-70,-1.8,2,1956
4,Guy Martin,Colgate,Ind,9,88,170,51.8,1100,6.5,3.6,9,15,105.9,38,65,1.7,1,1956
5,Charlie Arnold,SMU,SWC,10,71,157,45.2,964,6.1,3.1,8,14,95.8,62,-82,-1.3,2,1956
6,Carroll Johnston,Brigham Young,Skyline,10,71,167,42.5,945,5.7,2.6,8,15,87.9,24,39,1.6,1,1956
7,Joe Clements,Texas,SWC,10,74,151,49.0,793,5.3,1.4,7,16,87.2,60,180,3.0,2,1956
1,Tom Greene,Holy Cross,Ind,9,74,159,46.5,1297,8.2,5.9,11,13,121.5,53,84,1.6,5,1957
2,Bob Newman,Washington State,PCC,10,104,188,55.3,1391,7.4,5.7,13,13,126.5,75,53,0.7,3,1957
3,Roger LaBrasca,Drake,Ind,8,74,145,51.0,1054,7.3,5.8,12,10,125.6,null,-40,null,1,1957
4,Tom Forrestal,Navy,Ind,11,93,183,50.8,1270,6.9,3.4,8,18,103.9,39,86,2.2,2,1957
5,Bob Winters,Utah State,Skyline,10,92,179,51.4,1139,6.4,4.9,7,9,107.7,61,-7,-0.1,1,1957
6,Ken Ford,Hardin-Simmons,BIAA,10,115,205,56.1,1254,6.1,5.1,14,11,119.3,23,3,0.1,4,1957
7,Tom Flores,Pacific,Ind,10,82,184,44.6,980,5.3,3.3,4,10,85.6,35,15,0.4,3,1957
8,Ray Harding,Colgate,Ind,9,64,152,42.1,762,5.0,2.1,7,13,82.3,37,-60,-1.6,0,1957
1,Randy Duncan,Iowa,Big Ten,10,106,179,59.2,1397,7.8,6.9,12,9,136.8,39,65,1.7,5,1958
2,Tom Greene,Holy Cross,Ind,9,59,137,43.1,976,7.1,3.4,4,13,93.6,67,-39,-0.6,2,1958
3,Frank Finney,Brown,Ivy,9,71,142,50.0,982,6.9,4.9,8,10,112.6,47,152,3.2,11,1958
4,Charles Milstead,Texas A&M,SWC,10,88,167,52.7,1135,6.8,4.7,5,10,107.7,112,197,1.8,null,1958
5,Buddy Humphrey,Baylor,SWC,10,112,195,57.4,1316,6.7,5.6,7,8,117.8,52,75,1.4,2,1958
6,Norm Snead,Wake Forest,ACC,10,67,151,44.4,1003,6.6,2.2,5,17,88.6,33,-12,-0.4,3,1958
7,Dick Longfellow,West Virginia,Southern,10,79,156,50.6,948,6.1,3.4,6,12,99.0,86,254,3.0,5,1958
8,Ralph Hunsaker,Arizona,BIAA,10,106,191,55.5,1129,5.9,3.4,5,13,100.2,72,-91,-1.3,1,1958
9,Rich Mayo,Air Force,Ind,10,98,174,56.3,1019,5.9,5.6,11,6,119.5,33,90,2.7,2,1958
10,Arnold Dempsey,Virginia,ACC,10,74,152,48.7,697,4.6,1.6,2,11,77.1,32,-12,-0.4,null,1958
1,Dick Norman,Stanford,AAWU,10,152,263,57.8,1963,7.5,6.2,11,12,125.2,56,55,1.0,null,1959
2,John Amabile,Boston College,Ind,9,85,159,53.5,1200,7.5,6.6,8,7,124.7,28,-142,-5.1,1,1959
3,Charley Johnson,New Mexico State,BIAA,10,105,199,52.8,1449,7.3,null,18,null,null,52,186,3.6,null,1959
4,Norm Snead,Wake Forest,ACC,10,82,191,42.9,1361,7.1,4.6,12,16,106.8,27,4,0.1,1,1959
5,Joe Caldwell,Army,Ind,9,105,188,55.9,1343,7.1,6.4,9,7,124.2,32,-85,-2.7,1,1959
6,Dick Soergel,Oklahoma State,Ind,10,93,155,60.0,1100,7.1,7.0,8,4,131.5,47,-164,-3.5,0,1959
7,Don Meredith,SMU,SWC,10,105,181,58.0,1266,7.0,5.7,11,10,125.8,102,25,0.2,2,1959
8,Ron Costello,Xavier,Ind,10,93,151,61.6,1062,7.0,5.1,6,9,121.9,21,2,0.1,null,1959
9,Olen Treadway,Iowa,Big Ten,9,86,147,58.5,1014,6.9,6.8,6,3,125.8,13,-27,-2.1,null,1959
10,Peter Hall,Marquette,Ind,10,120,237,50.6,1589,6.7,4.6,7,14,104.9,93,-34,-0.4,3,1959
11,Jack Lee,Cincinnati,MVC,10,132,232,56.9,1535,6.6,6.1,7,6,117.3,66,-7,-0.1,1,1959
12,Emmett Lee,San Jose State,Ind,10,86,150,57.3,973,6.5,4.7,7,9,115.2,29,16,0.6,3,1959
13,Joe Majors,Florida State,Ind,10,90,168,53.6,1063,6.3,5.2,6,7,110.2,59,78,1.3,3,1959
14,Gale Weidner,Colorado,Big 7,10,100,207,48.3,1200,5.8,3.6,7,13,95.6,49,105,2.1,5,1959
15,Rich Mayo,Air Force,Ind,10,110,211,52.1,1212,5.7,4.2,6,10,100.3,38,145,3.8,3,1959
16,Fran Curci,Miami (FL),Ind,10,100,195,51.3,1068,5.5,2.8,5,14,91.4,102,260,2.5,3,1959
17,Ed Hino,George Washington,Southern,9,79,185,42.7,997,5.4,2.4,2,13,77.5,59,-166,-2.8,0,1959
18,Tommy Vasell,Columbia,Ivy,9,56,143,39.2,739,5.2,1.6,4,13,73.6,35,-51,-1.5,0,1959
1,Charley Johnson,New Mexico State,BIAA,10,109,199,54.8,1511,7.6,7.5,13,6,134.1,63,123,2.0,0,1960
2,Mel Melin,Washington State,Ind,10,119,220,54.1,1638,7.4,5.8,11,13,121.3,92,77,0.8,0,1960
3,Howard Dyer,Virginia Military Institute,Southern,10,87,168,51.8,1222,7.3,5.3,8,11,115.5,92,256,2.8,12,1960
4,Ron Miller,Wisconsin,Big Ten,9,97,188,51.6,1351,7.2,4.2,8,16,109.0,50,44,0.9,3,1960
5,Mike Jones,San Jose State,Ind,9,71,152,46.7,1049,6.9,6.5,6,4,112.4,39,-157,-4.0,0,1960
6,Tom Blanda,Army,Ind,10,92,164,56.1,1119,6.8,5.6,8,8,119.8,38,12,0.3,0,1960
7,Norm Snead,Wake Forest,ACC,10,123,259,47.5,1676,6.5,4.8,10,14,103.8,53,-46,-0.9,0,1960
8,Fran Tarkenton,Georgia,SEC,10,108,185,58.4,1189,6.4,4.3,7,12,111.9,76,85,1.1,4,1960
9,Roman Gabriel,North Carolina State,ACC,10,105,186,56.5,1182,6.4,5.5,8,7,116.5,98,174,1.8,7,1960
10,Ramiro Escandon,Denver,Skyline,10,90,198,45.5,1249,6.3,4.1,7,13,97.0,50,8,0.2,3,1960
11,Jerry Keeling,Tulsa,MVC,10,81,161,50.3,1018,6.3,3.7,10,14,106.5,82,303,3.7,4,1960
12,Jim Dawson,West Texas A&M,BIAA,10,88,150,58.7,921,6.1,4.5,8,9,115.8,68,91,1.3,1,1960
13,John Furman,UTEP,BIAA,10,94,189,49.7,1094,5.8,4.5,4,7,97.9,44,189,4.3,2,1960
14,Jack Kinderdine,Dartmouth,Ivy,9,81,169,47.9,985,5.8,4.6,5,7,98.4,34,-25,-0.7,3,1960
15,Jack Rohrbach,Brown,Ivy,9,76,156,48.7,858,5.5,2.6,4,12,88.0,36,12,0.3,0,1960
16,Dick Norman,Stanford,AAWU,10,95,201,47.3,1057,5.3,2.7,4,13,85.1,39,-59,-1.5,null,1960
17,Sil Vial,Idaho,Ind,10,81,177,45.8,930,5.3,4.0,7,8,93.9,40,-9,-0.2,3,1960
18,Mel Rideout,Richmond,Southern,10,85,182,46.7,904,5.0,2.9,4,10,84.7,46,-61,-1.3,3,1960
19,Harold Stephens,Hardin-Simmons,BIAA,10,145,256,56.6,1254,4.9,2.7,3,14,90.7,41,-147,-3.6,2,1960
20,Rich Mayo,Air Force,Ind,10,108,238,45.4,1168,4.9,2.1,7,18,81.2,70,149,2.1,0,1960
1,Eddie Wilson,Arizona,Ind,10,79,154,51.3,1294,8.4,7.7,10,7,134.2,27,83,3.1,4,1961
2,Matt Szykowny,Iowa,Big Ten,9,79,139,56.8,1078,7.8,3.9,7,15,117.0,40,-122,-3.1,4,1961
3,Ron Miller,Wisconsin,Big Ten,9,104,198,52.5,1487,7.5,6.1,11,11,122.8,36,-38,-1.1,3,1961
4,Chon Gallegos,San Jose State,Ind,10,117,197,59.4,1480,7.5,6.2,14,12,133.8,40,-92,-2.3,1,1961
5,Jerry Gross,Detroit Mercy,Ind,9,72,152,47.4,1126,7.4,5.3,9,11,114.7,37,124,3.4,0,1961
6,Gale Weidner,Colorado,Big 8,10,74,162,45.7,1101,6.8,4.5,8,12,104.2,32,-32,-1.0,2,1961
7,Pat McCarthy,Holy Cross,Ind,10,76,165,46.1,1081,6.6,6.2,11,6,115.8,128,512,4.0,8,1961
8,Bobby Mitchell,Virginia Military Institute,Southern,10,69,162,42.6,949,5.9,3.8,6,10,91.7,33,-32,-1.0,0,1961
9,George Mira,Miami (FL),Ind,10,81,172,47.1,1000,5.8,5.2,8,6,104.3,65,173,2.7,3,1961
10,Ron Klemick,Navy,Ind,10,84,182,46.2,1035,5.7,3.1,6,13,90.5,26,-46,-1.8,0,1961
11,John Furman,UTEP,BIAA,10,85,180,47.2,1026,5.7,4.1,10,11,101.2,75,308,4.1,3,1961
12,Sandy Stephens,Minnesota,Big Ten,10,54,153,35.3,869,5.7,3.0,9,13,85.4,122,533,4.4,8,1961
13,Earl Cole,Davidson,Southern,8,56,136,41.2,759,5.6,5.3,9,5,102.5,44,1,0.0,2,1961
14,Ray Farris,North Carolina,ACC,10,71,159,44.7,875,5.5,2.6,2,11,81.2,110,153,1.4,4,1961
15,Billy Canty,Furman,Southern,10,85,168,50.6,884,5.3,3.0,8,12,96.2,36,82,2.3,2,1961
16,Roman Gabriel,North Carolina State,ACC,10,99,186,53.2,937,5.0,4.4,8,6,103.3,97,196,2.0,4,1961
17,Mel Rideout,Richmond,Southern,10,68,178,38.2,808,4.5,2.5,7,11,77.0,24,22,0.9,1,1961
18,George Van Cott,Boston College,Ind,10,59,188,31.4,729,3.9,0.8,5,15,56.8,82,198,2.4,2,1961
1,Terry Baker,Oregon State,Ind,10,112,203,55.2,1738,8.6,8.9,15,5,146.5,115,538,4.7,9,1962
2,Jack Concannon,Boston College,Ind,10,97,181,53.6,1450,8.0,8.2,15,6,141.6,91,293,3.2,5,1962
3,Tom Myers,Northwestern,Big Ten,9,116,195,59.5,1537,7.9,6.0,13,14,133.3,43,-102,-2.4,1,1962
4,Dave Mathieson,Washington State,AAWU,10,104,199,52.3,1492,7.5,6.9,12,8,127.1,44,-171,-3.9,1,1962
5,Jerry Yost,West Virginia,Southern,10,75,152,49.3,1134,7.5,5.1,11,13,118.8,49,227,4.6,3,1962
6,Ron Vander Kelen,Wisconsin,Big Ten,10,124,216,57.4,1582,7.3,6.5,14,10,131.1,72,257,3.6,3,1962
7,Don Trull,Baylor,SWC,10,125,229,54.6,1627,7.1,5.7,11,12,119.6,93,136,1.5,4,1962
8,Jerry Woolum,Kentucky,SEC,10,83,157,52.9,1100,7.0,4.9,4,9,108.7,77,-133,-1.7,null,1962
9,John Giles,Louisville,Ind,10,90,181,49.7,1222,6.8,4.2,8,14,105.6,37,46,1.2,0,1962
10,Junior Edge,North Carolina,ACC,10,103,185,55.7,1234,6.7,4.5,7,12,111.2,70,64,0.9,1,1962
11,Larry Rakestraw,Georgia,SEC,10,78,169,46.2,1135,6.7,3.4,8,16,99.3,115,222,1.9,1,1962
12,Jim Dunda,Brown,Ivy,9,65,139,46.8,930,6.7,3.1,9,15,102.7,84,8,0.1,3,1962
13,Stu McBirnie,Tulsa,MVC,10,87,177,49.2,1169,6.6,5.4,12,10,115.7,15,-85,-5.7,0,1962
14,Dick Shiner,Maryland,ACC,10,121,203,59.6,1324,6.5,3.4,4,16,105.1,89,102,1.1,6,1962
15,Pat McCarthy,Holy Cross,Ind,10,85,194,43.8,1267,6.5,3.9,8,15,96.8,148,454,3.1,12,1962
16,Pete Liske,Penn State,Ind,10,91,162,56.2,1037,6.4,6.8,12,4,129.4,69,255,3.7,4,1962
17,Billy Lothridge,Georgia Tech,SEC,10,83,156,53.2,1006,6.4,4.9,6,8,109.8,128,478,3.7,9,1962
18,Gary Cuozzo,Virginia,ACC,10,98,181,54.1,1136,6.3,4.6,5,9,106.0,76,74,1.0,6,1962
19,Archie Roberts,Columbia,Ivy,9,102,170,60.0,1076,6.3,5.4,6,6,117.8,86,-35,-0.4,3,1962
20,George Mira,Miami (FL),Ind,11,146,306,47.7,1893,6.2,4.3,12,18,100.9,73,166,2.3,3,1962
21,Jerry Gross,Detroit Mercy,Ind,9,105,212,49.5,1317,6.2,4.0,6,13,98.8,112,296,2.6,4,1962
22,Sonny Gibbs,Texas Christian,SWC,10,89,169,52.7,1013,6.0,4.7,9,9,109.9,76,179,2.4,7,1962
23,Mike Miller,Oklahoma State,Big 8,10,81,180,45.0,1056,5.9,4.4,9,10,99.7,26,-57,-2.2,1,1962
24,Duane Blaska,Minnesota,Big Ten,9,71,154,46.1,862,5.6,3.4,8,11,96.0,61,103,1.7,2,1962
25,Mike Taliaferro,Illinois,Big Ten,9,80,212,37.7,1139,5.4,2.2,5,17,74.6,71,126,1.8,1,1962
26,Robert Hamlin,Marshall,MAC,10,89,185,48.1,1004,5.4,3.2,4,11,88.9,86,166,1.9,3,1962
27,Rand Carter,San Jose State,Ind,11,90,168,53.6,902,5.4,3.6,5,9,97.8,34,-131,-3.9,1,1962
28,Mel Rideout,Richmond,Southern,9,60,151,39.7,780,5.2,3.1,7,10,85.2,25,-35,-1.4,1,1962
29,Frank Cesarek,Colorado,Big 8,10,78,167,46.7,786,4.7,2.1,5,12,81.8,26,-50,-1.9,4,1962
30,Hank Lesesne,Vanderbilt,SEC,10,65,157,41.4,741,4.7,2.5,3,9,75.9,105,214,2.0,null,1962
1,Bob Berry,Oregon,Ind,10,101,171,59.1,1675,9.8,9.8,16,7,164.0,72,58,0.8,3,1963
2,Roger Staubach,Navy,Ind,11,128,192,66.7,1702,8.9,8.0,7,7,145.9,168,371,2.2,9,1963
3,Henry Schichtle,Wichita State,MVC,9,90,158,57.0,1409,8.9,9.0,12,5,150.6,63,202,3.2,7,1963
4,Bill Munson,Utah State,Ind,10,120,201,59.7,1699,8.5,9.0,12,3,147.4,57,10,0.2,3,1963
5,Tom Myers,Northwestern,Big Ten,9,93,179,52.0,1398,7.8,4.7,6,15,111.9,58,-106,-1.8,0,1963
6,Jerry Rhome,Tulsa,MVC,10,150,258,58.1,1909,7.4,5.9,10,13,123.0,77,67,0.9,2,1963
7,Dan Henning,William & Mary,Southern,10,100,182,54.9,1333,7.3,6.8,9,6,126.2,49,-31,-0.6,1,1963
8,Archie Roberts,Columbia,Ivy,9,101,164,61.6,1184,7.2,5.8,11,10,132.2,121,341,2.8,8,1963
9,Dana Kelly,Dartmouth,Ivy,9,88,148,59.5,1062,7.2,5.1,7,10,121.8,47,28,0.6,6,1963
10,Craig Morton,California,AAWU,10,101,207,48.8,1475,7.1,5.9,14,12,119.4,87,-43,-0.5,null,1963
11,Don Trull,Baylor,SWC,10,174,308,56.5,2157,7.0,5.9,13,13,120.8,98,119,1.2,10,1963
12,Gordon Queen,Oregon State,Ind,10,84,183,45.9,1281,7.0,5.8,16,12,120.4,75,16,0.2,0,1963
13,Jack Concannon,Boston College,Ind,9,85,192,44.3,1328,6.9,5.6,8,9,106.7,94,281,3.0,6,1963
14,Pete Liske,Penn State,Ind,10,87,161,54.0,1117,6.9,6.8,10,5,126.6,56,14,0.3,0,1963
15,Ron DiGravio,Purdue,Big Ten,10,88,161,54.7,1108,6.9,6.5,8,5,122.7,85,46,0.5,3,1963
16,Junior Edge,North Carolina,ACC,11,94,179,52.5,1205,6.7,4.5,5,11,106.0,81,279,3.4,6,1963
17,Larry Zeno,UCLA,AAWU,10,77,154,50.0,1036,6.7,4.9,6,9,107.7,104,173,1.7,1,1963
18,Billy Lothridge,Georgia Tech,SEC,10,76,153,49.7,1017,6.6,5.9,10,7,117.9,117,223,1.9,3,1963
19,George Mira,Miami (FL),Ind,10,172,334,51.5,2155,6.5,5.2,10,14,107.2,59,163,2.8,2,1963
20,Rick Norton,Kentucky,SEC,10,79,182,43.4,1177,6.5,2.7,6,18,88.8,87,-63,-0.7,2,1963
21,Scotty Glacken,Duke,ACC,10,101,201,50.2,1265,6.3,5.7,12,8,114.9,63,85,1.3,3,1963
22,Jack Skog,Houston,Ind,10,100,182,54.9,1145,6.3,4.8,7,9,110.6,59,34,0.6,3,1963
23,Larry Rakestraw,Georgia,SEC,10,103,209,49.3,1297,6.2,3.9,7,14,99.1,102,170,1.7,4,1963
24,Merv Holland,George Washington,Southern,9,101,215,47.0,1312,6.1,4.5,8,11,100.3,41,-32,-0.8,1,1963
25,Tom Shannon,Florida,SEC,10,84,158,53.2,956,6.1,2.9,4,13,95.9,107,12,0.1,5,1963
26,Tom LaFramboise,Louisville,MVC,10,104,204,51.0,1205,5.9,3.8,8,13,100.8,93,-42,-0.5,4,1963
27,Hal Brandt,Wisconsin,Big Ten,9,86,181,47.5,1006,5.6,4.0,6,9,95.2,47,70,1.5,3,1963
28,Ronnie Smith,Richmond,Southern,10,74,168,44.0,920,5.5,2.4,8,15,87.9,28,-91,-3.3,1,1963
29,Dick Shiner,Maryland,ACC,10,108,222,48.6,1165,5.2,4.5,10,8,100.4,92,21,0.2,4,1963
30,Phil Caito,Boston University,Ind,8,55,129,42.6,651,5.0,1.0,1,12,69.0,33,42,1.3,1,1963
31,Dave Mathieson,Washington State,AAWU,10,85,175,48.6,859,4.9,2.8,4,10,85.9,38,-75,-2.0,0,1963
32,Jerry Tucker,UTEP,Ind,10,70,181,38.7,865,4.8,1.4,3,15,67.7,61,32,0.5,4,1963
33,Gerald Barudin,Colgate,Ind,8,58,131,44.3,580,4.4,2.0,2,8,74.3,74,171,2.3,0,1963
34,Karl Sweetan,Wake Forest,ACC,10,79,218,36.2,674,3.1,0.3,1,14,50.9,53,-24,-0.5,1,1963
1,John Huarte,Notre Dame,Ind,10,114,205,55.6,2062,10.1,9.2,16,11,155.1,37,7,0.2,3,1964
2,John Torok,Arizona State,WAC,10,139,251,55.4,2356,9.4,8.5,20,14,149.4,37,-130,-3.5,0,1964
3,Jerry Rhome,Tulsa,MVC,10,224,326,68.7,2870,8.8,10.2,32,4,172.6,144,258,1.8,8,1964
4,Steve Tensi,Florida State,Ind,11,144,240,60.0,1986,8.3,7.2,19,14,144.0,11,-46,-4.2,1,1964
5,Craig Fertig,USC,AAWU,10,109,209,52.2,1671,8.0,6.9,11,10,127.1,39,24,0.6,3,1964
6,Rick Norton,Kentucky,SEC,10,106,202,52.5,1514,7.5,6.2,9,10,120.2,70,-195,-2.8,2,1964
7,Archie Roberts,Columbia,Ivy,9,110,196,56.1,1444,7.4,7.2,12,6,132.1,145,169,1.2,5,1964
8,Terry Southall,Baylor,SWC,10,118,225,52.4,1623,7.2,4.1,10,20,109.9,69,16,0.2,2,1964
9,Tim Murphy,Air Force,Ind,10,94,160,58.8,1154,7.2,5.8,7,8,123.8,54,-91,-1.7,0,1964
10,Bob Berry,Oregon,AAWU,10,108,208,51.9,1478,7.1,6.4,15,10,125.8,91,55,0.6,1,1964
11,Larry Zeno,UCLA,AAWU,10,97,196,49.5,1363,7.0,4.6,13,16,113.5,113,325,2.9,3,1964
12,Craig Morton,California,AAWU,10,185,308,60.1,2121,6.9,6.4,13,9,126.0,46,-238,-5.2,null,1964
13,John Mackovic,Wake Forest,ACC,10,89,195,45.6,1340,6.9,3.9,3,14,94.1,72,174,2.4,3,1964
14,Bob Davis,Virginia,ACC,10,81,156,51.9,1054,6.8,3.8,2,11,98.8,84,436,5.2,8,1964
15,Gary Snook,Iowa,Big Ten,9,151,311,48.6,2062,6.6,5.3,11,14,106.9,69,-18,-0.3,4,1964
16,Ed Foley,Boston College,Ind,9,72,144,50.0,947,6.6,4.3,4,9,101.9,79,56,0.7,1,1964
17,Richie Badar,Indiana,Big Ten,9,121,245,49.4,1571,6.4,4.4,9,15,103.1,84,54,0.6,null,1964
18,Fred Custardo,Illinois,Big Ten,9,86,159,54.1,1012,6.4,3.6,3,11,99.9,125,151,1.2,4,1964
19,Scotty Glacken,Duke,ACC,10,104,192,54.2,1178,6.1,4.8,7,9,108.4,56,31,0.6,0,1964
20,John Hankinson,Minnesota,Big Ten,9,86,178,48.3,1084,6.1,5.5,8,6,107.6,78,178,2.3,3,1964
21,Jim Weatherly,Ole Miss,SEC,11,91,170,53.5,1034,6.1,3.0,5,14,97.9,79,262,3.3,5,1964
22,Virgil Carter,Brigham Young,WAC,10,66,193,34.2,1154,6.0,3.6,9,14,85.3,107,388,3.6,5,1964
23,Hal Brandt,Wisconsin,Big Ten,9,85,176,48.3,1059,6.0,2.8,5,15,91.2,39,-70,-1.8,1,1964
24,Gary Black,North Carolina,ACC,10,82,174,47.1,1038,6.0,4.2,7,10,99.0,80,261,3.3,3,1964
25,Bob Griese,Purdue,Big Ten,9,76,156,48.7,934,6.0,3.7,5,10,96.8,82,147,1.8,4,1964
26,Steve Juday,Michigan State,Big Ten,9,79,148,53.4,894,6.0,4.2,9,10,110.7,48,-58,-1.2,2,1964
27,Ken Berry,San Jose State,Ind,10,94,188,50.0,1101,5.9,3.3,7,14,96.6,88,214,2.4,4,1964
28,Dan Reeves,South Carolina,ACC,10,83,164,50.6,974,5.9,4.5,4,7,100.0,103,232,2.3,null,1964
29,Dan Simrell,Toledo,MAC,10,115,215,53.5,1239,5.8,3.3,3,13,94.4,124,377,3.0,3,1964
30,Billy Fletcher,Memphis,Ind,9,69,160,43.1,921,5.8,4.7,7,7,97.2,92,367,4.0,2,1964
31,Bob Biletnikoff,Miami (FL),Ind,10,85,159,53.5,920,5.8,4.4,5,7,103.6,143,351,2.5,8,1964
32,Roger Kalinger,Rutgers,Ind,9,84,158,53.2,916,5.8,5.4,4,3,106.4,57,159,2.8,4,1964
33,Tom LaFramboise,Louisville,MVC,10,122,242,50.4,1380,5.7,2.7,4,18,88.9,83,-114,-1.4,2,1964
34,Tom Strain,Pacific,Ind,10,74,169,43.8,962,5.7,2.6,3,13,82.1,43,-133,-3.1,1,1964
35,Tom Myers,Northwestern,Big Ten,9,72,160,45.0,901,5.6,2.8,2,11,82.7,66,-142,-2.2,0,1964
36,Roger Staubach,Navy,Ind,10,119,204,58.3,1131,5.5,3.7,4,10,101.6,104,-1,0.0,2,1964
37,Don Unverferth,Ohio State,Big Ten,9,73,160,45.6,871,5.4,3.1,4,10,87.1,57,-47,-0.8,2,1964
38,Phil Petry,Maryland,ACC,10,73,162,45.1,809,5.0,3.7,5,7,88.6,93,233,2.5,3,1964
39,Ronnie Smith,Richmond,Southern,10,79,186,42.5,880,4.7,3.2,6,9,83.2,42,-150,-3.6,3,1964
40,Dave East,Tulane,SEC,10,85,192,44.3,846,4.4,1.8,2,12,72.2,82,-109,-1.3,1,1964
1,Steve Sloan,Alabama,SEC,10,97,160,60.6,1453,9.1,9.5,10,3,153.8,104,46,0.4,6,1965
2,Rick Norton,Kentucky,SEC,10,113,214,52.8,1823,8.5,6.2,11,16,126.4,57,-117,-2.1,2,1965
3,Tom Wilkinson,Wyoming,WAC,10,84,154,54.5,1313,8.5,7.0,6,8,128.6,47,-98,-2.1,0,1965
4,Ken Berry,San Jose State,Ind,10,94,202,46.5,1593,7.9,5.7,9,14,113.6,72,56,0.8,0,1965
5,Tod Hullin,Washington,AAWU,10,90,168,53.6,1318,7.8,7.0,13,9,134.3,85,-23,-0.3,0,1965
6,Ron Landeck,Princeton,Ivy,9,75,144,52.1,1099,7.6,7.9,13,5,139.0,188,850,4.5,11,1965
7,Tom Wilson,Texas Tech,SWC,10,172,283,60.8,2119,7.5,6.2,18,16,133.4,45,-69,-1.5,0,1965
8,Benny Russell,Louisville,MVC,10,115,246,46.7,1791,7.3,null,11,null,null,79,141,1.8,8,1965
9,Kenny Lucas,Pitt,Ind,10,144,268,53.7,1921,7.2,5.4,10,15,115.1,94,-159,-1.7,null,1965
10,Virgil Carter,Brigham Young,WAC,10,120,250,48.0,1789,7.2,6.4,20,13,124.1,121,474,3.9,4,1965
11,Bob Griese,Purdue,Big Ten,10,142,238,59.7,1719,7.2,6.6,11,8,128.9,111,65,0.6,4,1965
12,Bo Burris,Houston,Ind,10,81,175,46.3,1256,7.2,5.7,12,11,116.6,82,81,1.0,0,1965
13,Billy Stevens,UTEP,Ind,11,217,466,46.6,3240,7.0,4.9,22,31,107.2,66,-325,-4.9,1,1965
14,Carroll Williams,Xavier,Ind,10,128,262,48.9,1847,7.0,6.2,20,14,122.6,120,161,1.3,5,1965
15,Kim King,Georgia Tech,Ind,10,112,191,58.6,1331,7.0,6.2,11,8,127.8,131,345,2.6,2,1965
16,Allen McCune,West Virginia,Southern,10,91,182,50.0,1274,7.0,7.2,15,6,129.4,28,-85,-3.0,1,1965
17,John Hankinson,Minnesota,Big Ten,10,112,216,51.9,1483,6.9,4.4,9,16,108.5,105,140,1.3,7,1965
18,Dave Lewis,Stanford,AAWU,10,94,183,51.4,1257,6.9,5.4,5,8,109.3,124,183,1.5,2,1965
19,Bill Anderson,Tulsa,MVC,10,296,509,58.2,3464,6.8,6.7,30,14,129.3,71,-121,-1.7,5,1965
20,Ron Edwards,Utah State,Ind,10,86,160,53.8,1095,6.8,6.7,12,6,128.5,59,71,1.2,2,1965
21,Steve Juday,Michigan State,Big Ten,11,95,186,51.1,1253,6.7,5.1,7,10,109.3,67,127,1.9,3,1965
22,John Goodman,Arizona State,WAC,10,96,175,54.9,1165,6.7,6.7,9,4,123.2,61,-150,-2.5,0,1965
23,Steve Spurrier,Florida,SEC,10,148,287,51.6,1893,6.6,5.5,14,13,114.0,125,230,1.8,2,1965
24,Tom Hodges,Virginia,ACC,10,103,198,52.0,1299,6.6,4.0,4,13,100.7,69,83,1.2,4,1965
25,Tom Roth,Washington State,AAWU,10,98,190,51.6,1257,6.6,3.8,5,14,101.1,52,-130,-2.5,3,1965
26,Fred Custardo,Illinois,Big Ten,10,90,170,52.9,1124,6.6,5.3,11,10,118.1,105,120,1.1,1,1965
27,Frank Stavroff,Indiana,Big Ten,10,74,159,46.5,1045,6.6,3.3,8,15,99.5,51,18,0.4,null,1965
28,Bernie McCall,Colorado,Big 8,10,84,181,46.4,1175,6.5,3.5,2,13,90.2,104,253,2.4,1,1965
29,Paul Stein,Air Force,Ind,10,114,225,50.7,1446,6.4,4.8,9,12,107.2,140,320,2.3,6,1965
30,Ashby Cook,Mississippi State,SEC,10,78,162,48.1,1032,6.4,5.4,8,7,109.3,69,65,0.9,3,1965
31,Mike Brundage,Oregon,AAWU,10,85,180,47.2,1127,6.3,4.0,9,13,101.9,34,-97,-2.9,null,1965
32,Tim Van Galder,Iowa State,Big 8,10,100,228,43.9,1418,6.2,4.0,6,14,92.5,84,148,1.8,null,1965
33,Jack White,Penn State,Ind,10,98,205,47.8,1275,6.2,3.7,6,14,96.0,78,67,0.9,3,1965
34,Hill Ellett,Virginia Military Institute,Southern,10,98,210,46.7,1254,6.0,4.1,10,13,100.2,77,-36,-0.5,1,1965
35,Mike Fair,South Carolina,ACC,10,89,175,50.9,1049,6.0,4.2,2,8,95.8,93,78,0.8,null,1965
36,Tom Strain,Pacific,Ind,9,108,231,46.8,1361,5.9,4.1,8,13,96.4,48,-156,-3.3,1,1965
37,Rich Groth,Utah,WAC,10,66,164,40.2,967,5.9,3.0,8,14,88.8,74,97,1.3,1,1965
